,ランク,タイトル,週間,合計
0,1,モンスターハンターライズ,194327,1774063
1,2,スーパーマリオ 3Dワールド ＋ フューリーワールド,21590,642106
2,3,桃太郎電鉄 ～昭和 平成 令和も定番！～,12920,2101505
3,4,マリオカート8 デラックス,10439,3774112
4,5,リングフィット アドベンチャー,10154,2501449
5,6,Minecraft,9408,1892400
6,7,大乱闘スマッシュブラザーズ SPECIAL,7835,4236044
7,8,あつまれ どうぶつの森,7406,6727920
8,9,スプラトゥーン2,4783,3836779
9,10,ポケットモンスター ソード・シールド,4634,4023912
10,11,世界のアソビ大全51,4161,677068
11,12,スーパー マリオパーティ,3545,1858412
12,13,牧場物語 オリーブタウンと希望の大地,2915,269842
13,14,リトルナイトメア2(NSw),2695,62297
14,15,Apex Legends チャンピオンエディション,2354,21082
15,16,ゼルダの伝説 ブレス オブ ザ ワイルド,2199,1804987
16,17,スーパーマリオメーカー2,2087,1084206
17,18,ヒューマン フォール フラット,2056,137185
18,19,天穂のサクナヒメ(NSw),1880,150434
19,20,New スーパーマリオブラザーズ U デラックス,1729,1051241
20,21,スーパーマリオ オデッセイ,1712,2224385
21,22,フィットボクシング2 -リズム＆エクササイズ-,1652,88062
22,23,ドラゴンクエストXI　過ぎ去りし時を求めて S（新価格版）,1614,87682
23,24,ブレイブリーデフォルトII,1507,134858
24,25,ルイージマンション3,1454,759593
25,26,ピクミン3 デラックス,1406,556022
26,27,太鼓の達人 Nintendo Switchば～じょん！,1388,585212
27,28,OUTRIDERS（アウトライダーズ）(PS4),1370,7966
28,29,釣りスピリッツ Nintendo Switchバージョン,1352,578474
29,30,eBASEBALLパワフルプロ野球2020(NSw),1324,295797
