,title,week,sum
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,Minecraft(NSW),61764.0,61764
68,Minecraft(NSW),25773.0,87537
69,Minecraft(NSw),19148.0,106685
70,Minecraft(NSw),15101.0,121785
71,Minecraft,16265.0,138051
72,Minecraft,16067.0,154118
73,Minecraft,15101.0,169218
74,Minecraft,17003.0,186221
75,Minecraft,25948.0,212170
76,Minecraft,18234.0,230404
77,Minecraft,19110.0,249514
78,Minecraft,14752.0,264266
79,Minecraft,13479.0,277745
80,Minecraft,13317.0,291062
81,Minecraft,13483.0,304544
82,Minecraft,11071.0,315616
83,Minecraft,10402.0,326018
84,Minecraft,8325.0,334343
85,Minecraft,7901.0,342243
86,Minecraft,8093.0,350337
87,Minecraft,7562.0,357898
88,Minecraft,7449.0,365347
89,Minecraft,9818.0,375166
90,,,
91,,,
92,Minecraft,13667.0,707567
93,Minecraft,12278.0,719845
94,Minecraft（同梱版含む）,27140.0,506909
95,Minecraft（同梱版含む）,42845.0,549754
96,Minecraft（同梱版含む）,12590.0,562344
97,Minecraft（同梱版含む）,11107.0,573451
98,Minecraft（同梱版含む）,8588.0,582039
99,Minecraft（同梱版含む）,8250.0,590289
100,Minecraft（同梱版含む）,8308.0,598597
101,,,
102,,,
103,,,
104,Minecraft（同梱版含む）,8350.0,632871
105,,,
106,,,
107,Minecraft,13667.0,707567
108,Minecraft,12278.0,719845
109,Minecraft,9123.0,728968
110,Minecraft,8532.0,737500
111,Minecraft,10509.0,748009
112,Minecraft,20114.0,768123
113,Minecraft,8255.0,776378
114,Minecraft,6954.0,783332.0
115,Minecraft,7451.0,790783
116,Minecraft,8467.0,799250
117,Minecraft,8235.0,807485
118,Minecraft,8334.0,815819
119,Minecraft,7071.0,822890
120,Minecraft,7795.0,830685
121,Minecraft,7234.0,837919
122,Minecraft,7141.0,845060
123,Minecraft,7439.0,852499
124,,,
125,Minecraft,7634.0,867243
126,Minecraft,8919.0,876162
127,Minecraft,13257.0,889419
128,Minecraft,8491.0,897910
129,Minecraft,9340.0,907250
130,Minecraft,8507.0,954488
131,Minecraft,7308.0,961796
132,Minecraft,9020.0,970816
133,Minecraft,8628.0,979444
134,Minecraft,7758.0,987202
135,Minecraft,8321.0,995523
