,title,week,sum
2017.03.09,,,
2017.03.16,,,
2017.03.23,,,
2017.03.30,,,
2017.04.06,,,
2017.04.13,,,
2017.04.20,,,
2017.04.27,,,
2017.05.04,,,
2017.05.11,,,
2017.05.18,,,
2017.05.25,,,
2017.06.01,,,
2017.06.08,,,
2017.06.15,,,
2017.06.22,,,
2017.06.29,,,
2017.07.06,,,
2017.07.13,,,
2017.07.20,,,
2017.07.27,,,
2017.08.03,,,
2017.08.10,,,
2017.08.17,,,
2017.08.24,,,
2017.08.31,,,
2017.09.07,,,
2017.09.14,,,
2017.09.21,,,
2017.09.28,,,
2017.10.05,,,
2017.10.12,,,
2017.10.19,,,
2017.10.26,,,
2017.11.02,,,
2017.11.09,,,
2017.11.16,,,
2017.11.23,,,
2017.11.30,,,
2017.12.07,,,
2017.12.14,,,
2017.12.21,,,
2017.12.28,,,
2018.01.11,,,
2018.01.18,,,
2018.01.25,,,
2018.02.01,,,
2018.02.08,,,
2018.02.15,,,
2018.02.22,,,
2018.03.01,,,
2018.03.08,,,
2018.03.15,,,
2018.03.22,,,
2018.03.29,,,
2018.04.05,,,
2018.04.12,,,
2018.04.19,,,
2018.04.26,,,
2018.05.03,,,
2018.05.10,,,
2018.05.17,,,
2018.05.24,,,
2018.05.31,,,
2018.06.07,,,
2018.06.14,,,
2018.06.21,,,
2018.06.28,,,
2018.07.05,,,
2018.07.12,,,
2018.07.19,,,
2018.07.26,Minecraft,16265.0,138051
2018.08.02,Minecraft,16067.0,154118
2018.08.09,Minecraft,15101.0,169218
2018.08.16,Minecraft,17003.0,186221
2018.08.23,Minecraft,25948.0,212170
2018.08.30,Minecraft,18234.0,230404
2018.09.06,Minecraft,19110.0,249514
2018.09.13,Minecraft,14752.0,264266
2018.09.20,Minecraft,13479.0,277745
2018.09.27,Minecraft,13317.0,291062
2018.10.04,Minecraft,13483.0,304544
2018.10.11,Minecraft,11071.0,315616
2018.10.18,Minecraft,10402.0,326018
2018.10.25,Minecraft,8325.0,334343
2018.11.01,Minecraft,7901.0,342243
2018.11.08,Minecraft,8093.0,350337
2018.11.15,Minecraft,7562.0,357898
2018.11.22,Minecraft,7449.0,365347
2018.11.29,Minecraft,9818.0,375166
2018.12.06,,,
2018.12.13,,,
2018.12.20,Minecraft,13667.0,707567
2018.12.27,Minecraft,12278.0,719845
2019.01.03,,,
2019.01.10,,,
2019.01.17,,,
2019.01.24,,,
2019.01.31,,,
2019.02.07,,,
2019.02.14,,,
2019.02.21,,,
2019.02.28,,,
2019.03.07,,,
2019.03.14,,,
2019.03.21,,,
2019.03.28,,,
2019.04.04,Minecraft,13667.0,707567
2019.04.11,Minecraft,12278.0,719845
2019.04.18,Minecraft,9123.0,728968
2019.04.25,Minecraft,8532.0,737500
2019.05.02,Minecraft,10509.0,748009
2019.05.09,Minecraft,20114.0,768123
2019.05.16,Minecraft,8255.0,776378
2019.05.23,Minecraft,6954.0,783332.0
2019.05.30,Minecraft,7451.0,790783
2019.06.06,Minecraft,8467.0,799250
2019.06.13,Minecraft,8235.0,807485
2019.06.20,Minecraft,8334.0,815819
2019.06.27,Minecraft,7071.0,822890
2019.07.04,Minecraft,7795.0,830685
2019.07.11,Minecraft,7234.0,837919
2019.07.18,Minecraft,7141.0,845060
2019.07.25,Minecraft,7439.0,852499
2019.08.01,,,
2019.08.08,Minecraft,7634.0,867243
2019.08.15,Minecraft,8919.0,876162
2019.08.22,Minecraft,13257.0,889419
2019.08.29,Minecraft,8491.0,897910
2019.09.05,Minecraft,9340.0,907250
2019.09.12,Minecraft,8507.0,954488
2019.09.19,Minecraft,7308.0,961796
2019.09.26,Minecraft,9020.0,970816
2019.10.03,Minecraft,8628.0,979444
2019.10.10,Minecraft,7758.0,987202
2019.10.17,Minecraft,8321.0,995523
2019.10.24,Minecraft,7637.0,1003160.0
2019.10.31,Minecraft,8512.0,1011672.0
2019.11.07,Minecraft,11084.0,1022756
2019.11.14,Minecraft,15335.0,1038091
2019.11.21,Minecraft,25036.0,1063127
2019.11.28,Minecraft,41907.0,1105034
2019.12.05,Minecraft,40905.0,1145939
2019.12.12,Minecraft,46963.0,1192902
2019.12.19,Minecraft,15845.0,1208747
2019.12.26,Minecraft,13919.0,1222666
2020.01.02,Minecraft,40905.0,1145939
2020.01.09,Minecraft,46963.0,1192902
2020.01.16,Minecraft,15845.0,1208747
2020.01.23,Minecraft,13919.0,1222666
2020.01.30,Minecraft,10827.0,1233493
2020.02.06,Minecraft,10067.0,1243560
2020.02.13,Minecraft,9063.0,1252623
2020.02.20,Minecraft,11275.0,1263898
2020.02.27,Minecraft,8687.0,1272585
2020.03.05,Minecraft,12510.0,1285095
2020.03.12,Minecraft,12933.0,1298028
2020.03.19,Minecraft,11787.0,1309815
2020.03.26,Minecraft,12116.0,1321931
2020.04.02,Minecraft,9908.0,1331839
2020.04.09,Minecraft,9045.0,1340884
2020.04.16,,,
2020.04.23,Minecraft,7154.0,1356230
2020.04.30,,,
2020.05.07,,,
2020.05.14,Minecraft,9271.0,1380939
2020.05.21,Minecraft,6063.0,1387002
2020.05.28,Minecraft,6107.0,1393109
2020.06.04,Minecraft,6741.0,1399850
2020.06.11,Minecraft,7082.0,1406932
2020.06.18,Minecraft,6968.0,1413900
2020.06.26,Minecraft,6067.0,1419967
2020.07.03,Minecraft,6634.0,1426601
2020.07.10,Minecraft,6104.0,1432705
2020.07.17,Minecraft,5967.0,1438672
2020.07.24,Minecraft,5659.0,1444331
2020.07.31,Minecraft,8036.0,1452367.0
2020.08.07,Minecraft,5969.0,1458336
2020.08.14,Minecraft,7459.0,1465795
2020.08.21,Minecraft,10245.0,1476040
2020.08.28,Minecraft,6404.0,1482444
2020.09.04,Minecraft,5715.0,1488159
2020.09.11,Minecraft,5939.0,1494098
2020.09.18,Minecraft,5516.0,1499614
2020.09.25,Minecraft,5674.0,1505288
2020.10.02,Minecraft,6979.0,1512267
2020.10.09,Minecraft,5901.0,1518168
2020.10.16,Minecraft,6859.0,1525027
2020.10.23,Minecraft,6471.0,1531498
2020.10.30,Minecraft,5863.0,1537361
2020.11.06,Minecraft,11873.0,1786687
2020.11.13,Minecraft,10546.0,1797233
2020.11.20,Minecraft,9692.0,1806925
2020.11.27,Minecraft,10139.0,1817064.0
2020.12.04,Minecraft,8423.0,1825487
2020.12.11,Minecraft,9386.0,1834873
2020.12.18,Minecraft,8760.0,1843633
2020.12.25,Minecraft,8690.0,1852323
2021.01.01,Minecraft,48459.0,1702921
2021.01.08,Minecraft,37530.0,1740451
2021.01.15,Minecraft,19933.0,1760384
2021.01.22,Minecraft,14430.0,1774814
2021.01.29,Minecraft,11873.0,1786687
2021.02.05,Minecraft,10546.0,1797233
2021.02.12,Minecraft,9692.0,1806925
2021.02.19,Minecraft,10139.0,1817064.0
2021.02.26,Minecraft,8423.0,1825487
2021.03.05,Minecraft,9386.0,1834873
2021.03.12,Minecraft,8760.0,1843633
2021.03.19,Minecraft,8690.0,1852323
2021.03.26,Minecraft,9320.0,1861643
2021.04.02,Minecraft,11096.0,1872739
2021.04.09,Minecraft,10253.0,1882992
2021.04.16,Minecraft,9408.0,1892400
2021.04.23,Minecraft,8957.0,1901357
2021.04.30,Minecraft,9224.0,1910581
2021.05.07,Minecraft,13607.0,1924188
2021.05.14,Minecraft,15942.0,1940130.0
2021.05.21,Minecraft,9753.0,1949883.0
2021.05.28,Minecraft,10361.0,1960244
2021.06.04,Minecraft,11635.0,1971879
2021.06.18,Minecraft,11661.0,1995228
2021.06.25,Minecraft,12316.0,2007544
2021.07.02,Minecraft,11888.0,2019432
2021.07.09,Minecraft,13211.0,2032643
2021.07.16,Minecraft,12348.0,2044991
2021.07.23,Minecraft,11565.0,2056556
2021.07.30,Minecraft,17031.0,2073587
2021.08.06,Minecraft,13914.0,2087501
