,title,week,sum
2017.03.09,,,
2017.03.16,,,
2017.03.23,,,
2017.03.30,,,
2017.04.06,,,
2017.04.13,,,
2017.04.20,,,
2017.04.27,,,
2017.05.04,,,
2017.05.11,,,
2017.05.18,,,
2017.05.25,,,
2017.06.01,,,
2017.06.08,,,
2017.06.15,,,
2017.06.22,,,
2017.06.29,,,
2017.07.06,,,
2017.07.13,,,
2017.07.20,,,
2017.07.27,,,
2017.08.03,,,
2017.08.10,,,
2017.08.17,,,
2017.08.24,,,
2017.08.31,,,
2017.09.07,,,
2017.09.14,,,
2017.09.21,,,
2017.09.28,,,
2017.10.05,,,
2017.10.12,,,
2017.10.19,,,
2017.10.26,,,
2017.11.02,,,
2017.11.09,,,
2017.11.16,,,
2017.11.23,,,
2017.11.30,,,
2017.12.07,,,
2017.12.14,,,
2017.12.21,,,
2017.12.28,,,
2018.01.11,,,
2018.01.18,,,
2018.01.25,,,
2018.02.01,,,
2018.02.08,,,
2018.02.15,,,
2018.02.22,,,
2018.03.01,,,
2018.03.08,,,
2018.03.15,,,
2018.03.22,,,
2018.03.29,,,
2018.04.05,,,
2018.04.12,,,
2018.04.19,,,
2018.04.26,,,
2018.05.03,,,
2018.05.10,,,
2018.05.17,,,
2018.05.24,,,
2018.05.31,,,
2018.06.07,,,
2018.06.14,,,
2018.06.21,,,
2018.06.28,,,
2018.07.05,,,
2018.07.12,,,
2018.07.19,,,
2018.07.26,,,
2018.08.02,,,
2018.08.09,,,
2018.08.16,,,
2018.08.23,,,
2018.08.30,,,
2018.09.06,,,
2018.09.13,,,
2018.09.20,,,
2018.09.27,,,
2018.10.04,,,
2018.10.11,,,
2018.10.18,,,
2018.10.25,,,
2018.11.01,,,
2018.11.08,,,
2018.11.15,,,
2018.11.22,,,
2018.11.29,,,
2018.12.06,,,
2018.12.13,,,
2018.12.20,,,
2018.12.27,,,
2019.01.03,,,
2019.01.10,,,
2019.01.17,,,
2019.01.24,,,
2019.01.31,,,
2019.02.07,,,
2019.02.14,,,
2019.02.21,,,
2019.02.28,,,
2019.03.07,,,
2019.03.14,,,
2019.03.21,,,
2019.03.28,,,
2019.04.04,,,
2019.04.11,,,
2019.04.18,,,
2019.04.25,,,
2019.05.02,,,
2019.05.09,,,
2019.05.16,,,
2019.05.23,,,
2019.05.30,,,
2019.06.06,,,
2019.06.13,,,
2019.06.20,,,
2019.06.27,,,
2019.07.04,,,
2019.07.11,,,
2019.07.18,,,
2019.07.25,,,
2019.08.01,,,
2019.08.08,,,
2019.08.15,,,
2019.08.22,,,
2019.08.29,,,
2019.09.05,,,
2019.09.12,,,
2019.09.19,,,
2019.09.26,,,
2019.10.03,,,
2019.10.10,,,
2019.10.17,,,
2019.10.24,,,
2019.10.31,,,
2019.11.07,,,
2019.11.14,,,
2019.11.21,,,
2019.11.28,,,
2019.12.05,,,
2019.12.12,,,
2019.12.19,,,
2019.12.26,,,
2020.01.02,,,
2020.01.09,,,
2020.01.16,,,
2020.01.23,,,
2020.01.30,,,
2020.02.06,,,
2020.02.13,,,
2020.02.20,,,
2020.02.27,,,
2020.03.05,,,
2020.03.12,,,
2020.03.19,,,
2020.03.26,,,
2020.04.02,,,
2020.04.09,あつまれ どうぶつの森,423367.0,3031784
2020.04.16,あつまれ どうぶつの森,292876.0,3324660
2020.04.23,あつまれ どうぶつの森,286586.0,3611246
2020.04.30,あつまれ どうぶつの森,283913.0,3895159
2020.05.07,あつまれ どうぶつの森,260357.0,4155516
2020.05.14,あつまれ どうぶつの森,194942.0,4350458
2020.05.21,あつまれ どうぶつの森,129659.0,4480117
2020.05.28,あつまれ どうぶつの森,102553.0,4582670
2020.06.04,あつまれ どうぶつの森,102749.0,4685419
2020.06.11,あつまれ どうぶつの森,97810.0,4783229
2020.06.18,あつまれ どうぶつの森,77259.0,4860488
2020.06.26,あつまれ どうぶつの森,73680.0,4934168
2020.07.03,あつまれ どうぶつの森,70552.0,5004720
2020.07.10,あつまれ どうぶつの森,53506.0,5058226
2020.07.17,あつまれ どうぶつの森,56160.0,5114386
2020.07.24,あつまれ どうぶつの森,71897.0,5186283
2020.07.31,あつまれ どうぶつの森,94115.0,5280398.0
2020.08.07,あつまれ どうぶつの森,56730.0,5337128
2020.08.14,あつまれ どうぶつの森,108087.0,5445215
2020.08.21,あつまれ どうぶつの森,105983.0,5551198
2020.08.28,あつまれ どうぶつの森,42863.0,5594061
2020.09.04,あつまれ どうぶつの森,34401.0,5628462
2020.09.11,あつまれ どうぶつの森,32136.0,5660598
2020.09.18,あつまれ どうぶつの森,31558.0,5692156
2020.09.25,あつまれ どうぶつの森,32097.0,5724253
2020.10.02,あつまれ どうぶつの森,29829.0,5754082
2020.10.09,あつまれ どうぶつの森,36495.0,5790577
2020.10.16,あつまれ どうぶつの森,37544.0,5828121
2020.10.23,あつまれ どうぶつの森,34547.0,5862668
2020.10.30,あつまれ どうぶつの森,23069.0,5885737
2020.11.06,あつまれ どうぶつの森,27237.0,6580855
2020.11.13,あつまれ どうぶつの森,25151.0,6606006
2020.11.20,あつまれ どうぶつの森,19020.0,6625026
2020.11.27,あつまれ どうぶつの森,16379.0,6641405.0
2020.12.04,あつまれ どうぶつの森,13677.0,6655082
2020.12.11,あつまれ どうぶつの森,13332.0,6668414
2020.12.18,あつまれ どうぶつの森,11731.0,6680145
2020.12.25,あつまれ どうぶつの森,10055.0,6690200
2021.01.01,あつまれ どうぶつの森,107750.0,6378103
2021.01.08,あつまれ どうぶつの森,94382.0,6472485
2021.01.15,あつまれ どうぶつの森,45124.0,6517609
2021.01.22,あつまれ どうぶつの森,36009.0,6553618
2021.01.29,あつまれ どうぶつの森,27237.0,6580855
2021.02.05,あつまれ どうぶつの森,25151.0,6606006
2021.02.12,あつまれ どうぶつの森,19020.0,6625026
2021.02.19,あつまれ どうぶつの森,16379.0,6641405.0
2021.02.26,あつまれ どうぶつの森,13677.0,6655082
2021.03.05,あつまれ どうぶつの森,13332.0,6668414
2021.03.12,あつまれ どうぶつの森,11731.0,6680145
2021.03.19,あつまれ どうぶつの森,10055.0,6690200
2021.03.26,あつまれ どうぶつの森,9516.0,6699716
2021.04.02,あつまれ どうぶつの森,11145.0,6710861
2021.04.09,あつまれ どうぶつの森,9653.0,6720514
2021.04.16,あつまれ どうぶつの森,7406.0,6727920
2021.04.23,あつまれ どうぶつの森,7243.0,6735163
2021.04.30,あつまれ どうぶつの森,8269.0,6743432
2021.05.07,あつまれ どうぶつの森,11947.0,6755379
2021.05.14,あつまれ どうぶつの森,9958.0,6765337.0
2021.05.21,あつまれ どうぶつの森,6548.0,6771885.0
2021.05.28,あつまれ どうぶつの森,6261.0,6778146
2021.06.04,あつまれ どうぶつの森,5982.0,6784128
2021.06.18,あつまれ どうぶつの森,5549.0,6795602
2021.06.25,あつまれ どうぶつの森,6094.0,6801696
2021.07.02,あつまれ どうぶつの森,5593.0,6807289
2021.07.09,あつまれ どうぶつの森,6167.0,6813456
2021.07.16,あつまれ どうぶつの森,6208.0,6819664
2021.07.23,あつまれ どうぶつの森,5493.0,6825157
2021.07.30,あつまれ どうぶつの森,6978.0,6832135
2021.08.06,あつまれ どうぶつの森,5881.0,6838016
