,title,week,sum
2017.03.09,,,
2017.03.16,,,
2017.03.23,,,
2017.03.30,,,
2017.04.06,,,
2017.04.13,,,
2017.04.20,,,
2017.04.27,,,
2017.05.04,,,
2017.05.11,,,
2017.05.18,,,
2017.05.25,,,
2017.06.01,,,
2017.06.08,,,
2017.06.15,,,
2017.06.22,,,
2017.06.29,,,
2017.07.06,,,
2017.07.13,,,
2017.07.20,,,
2017.07.27,Splatoon2 （スプラトゥーン2）（同梱版含む）,648085.0,648085
2017.08.03,Splatoon2 （スプラトゥーン2）（同梱版含む）,105326.0,753411
2017.08.10,Splatoon2 （スプラトゥーン2）（同梱版含む）,74235.0,827646
2017.08.17,Splatoon2 （スプラトゥーン2）（同梱版含む）,87983.0,915628
2017.08.24,Splatoon2 （スプラトゥーン2）（同梱版含む）,34108.0,949737.0
2017.08.31,Splatoon2 （スプラトゥーン2）（同梱版含む）,54443.0,1004180
2017.09.07,Splatoon2 （スプラトゥーン2）（同梱版含む）,52320.0,1056500
2017.09.14,Splatoon2 （スプラトゥーン2）（同梱版含む）,44981.0,1101481
2017.09.21,Splatoon2 （スプラトゥーン2）（同梱版含む）,37481.0,1138962
2017.09.28,Splatoon2 （スプラトゥーン2）（同梱版含む）,21897.0,1160859
2017.10.05,Splatoon2 （スプラトゥーン2）（同梱版含む）,29704.0,1190563
2017.10.12,Splatoon2 （スプラトゥーン2）（同梱版含む）,36246.0,1409776
2017.10.19,Splatoon2 （スプラトゥーン2）（同梱版含む）,50594.0,1460370
2017.10.26,Splatoon2 （スプラトゥーン2）（同梱版含む）,70489.0,1530859
2017.11.02,Splatoon2 （スプラトゥーン2）（同梱版含む）,137607.0,1668466
2017.11.09,Splatoon2 （スプラトゥーン2）（同梱版含む）,96404.0,1764870
2017.11.16,Splatoon2 （スプラトゥーン2）（同梱版含む）,117840.0,1882709
2017.11.23,Splatoon2 （スプラトゥーン2）（同梱版含む）,34632.0,1917342
2017.11.30,Splatoon2 （スプラトゥーン2）（同梱版含む）,28691.0,1946033
2017.12.07,Splatoon2 （スプラトゥーン2）（同梱版含む）,25776.0,1971810
2017.12.14,Splatoon2 （スプラトゥーン2）（同梱版含む）,25758.0,1997568
2017.12.21,Splatoon2 （スプラトゥーン2）（同梱版含む）,23461.0,2021028
2017.12.28,Splatoon2 （スプラトゥーン2）（同梱版含む）,21815.0,2042844
2018.01.11,Splatoon2 （スプラトゥーン2）（同梱版含む）,117840.0,1882709
2018.01.18,Splatoon2 （スプラトゥーン2）（同梱版含む）,34632.0,1917342
2018.01.25,Splatoon2 （スプラトゥーン2）（同梱版含む）,28691.0,1946033
2018.02.01,Splatoon2 （スプラトゥーン2）（同梱版含む）,25776.0,1971810
2018.02.08,Splatoon2 （スプラトゥーン2）（同梱版含む）,25758.0,1997568
2018.02.15,Splatoon2 （スプラトゥーン2）（同梱版含む）,23461.0,2021028
2018.02.22,Splatoon2 （スプラトゥーン2）（同梱版含む）,21815.0,2042844
2018.03.01,Splatoon2 （スプラトゥーン2）（同梱版含む）,19501.0,2062345
2018.03.08,Splatoon2 （スプラトゥーン2）（同梱版含む）,21979.0,2084324
2018.03.15,Splatoon2 （スプラトゥーン2）（同梱版含む）,22162.0,2106486
2018.03.22,Splatoon2 （スプラトゥーン2）（同梱版含む）,30471.0,2136957
2018.03.29,,,
2018.04.05,Splatoon2 （スプラトゥーン2）（同梱版含む）,25639.0,2191686
2018.04.12,,,
2018.04.19,Splatoon2 （スプラトゥーン2）（同梱版含む）,18729.0,2232305
2018.04.26,Splatoon2 （スプラトゥーン2）（同梱版含む）,16617.0,2248923
2018.05.03,Splatoon2 （スプラトゥーン2）（同梱版含む）,18664.0,2267587
2018.05.10,Splatoon2 （スプラトゥーン2）（同梱版含む）,29850.0,2297437
2018.05.17,Splatoon2 （スプラトゥーン2）（同梱版含む）,12966.0,2310403
2018.05.24,Splatoon2 （スプラトゥーン2）（同梱版含む）,12646.0,2323048
2018.05.31,Splatoon2 （スプラトゥーン2）（同梱版含む）,13473.0,2336522
2018.06.07,Splatoon2 （スプラトゥーン2）（同梱版含む）,14317.0,2350839
2018.06.14,Splatoon2 （スプラトゥーン2）（同梱版含む）,13423.0,2364262
2018.06.21,Splatoon2 （スプラトゥーン2）（同梱版含む）,15715.0,2379977
2018.06.28,Splatoon2 （スプラトゥーン2）（同梱版含む）,14747.0,2394724
2018.07.05,Splatoon2 （スプラトゥーン2）（同梱版含む）,16266.0,2410990
2018.07.12,Splatoon2 （スプラトゥーン2）（同梱版含む）,16362.0,2427352
2018.07.19,Splatoon2 （スプラトゥーン2）（同梱版含む）,20430.0,2447782
2018.07.26,Splatoon2 （スプラトゥーン2）（同梱版含む）,21913.0,2469695
2018.08.02,Splatoon2 （スプラトゥーン2）（同梱版含む）,20344.0,2490039
2018.08.09,Splatoon2 （スプラトゥーン2）（同梱版含む）,20989.0,2511028
2018.08.16,Splatoon2 （スプラトゥーン2）（同梱版含む）,21630.0,2532658
2018.08.23,Splatoon2 （スプラトゥーン2）（同梱版含む）,24188.0,2556846
2018.08.30,Splatoon2 （スプラトゥーン2）（同梱版含む）,16036.0,2572882
2018.09.06,Splatoon2 （スプラトゥーン2）（同梱版含む）,16960.0,2589842
2018.09.13,Splatoon2 （スプラトゥーン2）（同梱版含む）,14398.0,2604239
2018.09.20,Splatoon2 （スプラトゥーン2）（同梱版含む）,14094.0,2618333
2018.09.27,Splatoon2 （スプラトゥーン2）（同梱版含む）,13205.0,2631538
2018.10.04,,,
2018.10.11,Splatoon2 （スプラトゥーン2）（同梱版含む）,10381.0,2654977
2018.10.18,Splatoon2 （スプラトゥーン2）（同梱版含む）,8767.0,2663744
2018.10.25,Splatoon2 （スプラトゥーン2）（同梱版含む）,7293.0,2671037
2018.11.01,Splatoon2 （スプラトゥーン2）（同梱版含む）,6468.0,2677505
2018.11.08,Splatoon2 （スプラトゥーン2）（同梱版含む）,6605.0,2684110
2018.11.15,Splatoon2 （スプラトゥーン2）（同梱版含む）,6783.0,2690893
2018.11.22,Splatoon2 （スプラトゥーン2）（同梱版含む）,7992.0,2698886
2018.11.29,Splatoon2 （スプラトゥーン2）（同梱版含む）,10527.0,2709412
2018.12.06,,,
2018.12.13,,,
2018.12.20,スプラトゥーン2,8706.0,3020833
2018.12.27,スプラトゥーン2,8161.0,3028994
2019.01.03,Splatoon2 （スプラトゥーン2）（同梱版含む）,30669.0,2839787
2019.01.10,Splatoon2 （スプラトゥーン2）（同梱版含む）,43033.0,2882819
2019.01.17,,,
2019.01.24,Splatoon2 （スプラトゥーン2）（同梱版含む）,9469.0,2903350
2019.01.31,Splatoon2 （スプラトゥーン2）（同梱版含む）,7329.0,2910678
2019.02.07,,,
2019.02.14,Splatoon2 （スプラトゥーン2）（同梱版含む）,7068.0,2925436
2019.02.21,,,
2019.02.28,,,
2019.03.07,,,
2019.03.14,Splatoon2 （スプラトゥーン2）（同梱版含む）,7739.0,2955316
2019.03.21,,,
2019.03.28,,,
2019.04.04,スプラトゥーン2,8706.0,3020833
2019.04.11,スプラトゥーン2,8161.0,3028994
2019.04.18,,,
2019.04.25,,,
2019.05.02,,,
2019.05.09,スプラトゥーン2,12233.0,3058082
2019.05.16,スプラトゥーン2,5105.0,3063187
2019.05.23,スプラトゥーン2,4524.0,3067711.0
2019.05.30,スプラトゥーン2,5360.0,3073071
2019.06.06,スプラトゥーン2,5512.0,3078583
2019.06.13,スプラトゥーン2,5477.0,3084060
2019.06.20,スプラトゥーン2,5099.0,3089159
2019.06.27,スプラトゥーン2,4479.0,3093638
2019.07.04,,,
2019.07.11,スプラトゥーン2,6072.0,3105283
2019.07.18,,,
2019.07.25,,,
2019.08.01,,,
2019.08.08,,,
2019.08.15,,,
2019.08.22,,,
2019.08.29,,,
2019.09.05,,,
2019.09.12,,,
2019.09.19,,,
2019.09.26,,,
2019.10.03,,,
2019.10.10,,,
2019.10.17,,,
2019.10.24,,,
2019.10.31,,,
2019.11.07,,,
2019.11.14,,,
2019.11.21,,,
2019.11.28,,,
2019.12.05,,,
2019.12.12,,,
2019.12.19,スプラトゥーン2,8055.0,3288270
2019.12.26,,,
2020.01.02,,,
2020.01.09,,,
2020.01.16,スプラトゥーン2,8055.0,3288270
2020.01.23,,,
2020.01.30,スプラトゥーン2,5915.0,3301208
2020.02.06,スプラトゥーン2,5640.0,3306848
2020.02.13,,,
2020.02.20,,,
2020.02.27,,,
2020.03.05,,,
2020.03.12,スプラトゥーン2,7293.0,3335123
2020.03.19,スプラトゥーン2,6827.0,3341950
2020.03.26,スプラトゥーン2,7467.0,3349417
2020.04.02,,,
2020.04.09,,,
2020.04.16,,,
2020.04.23,,,
2020.04.30,,,
2020.05.07,スプラトゥーン2,12391.0,3395693
2020.05.14,スプラトゥーン2,13467.0,3409160
2020.05.21,スプラトゥーン2,8079.0,3417239
2020.05.28,スプラトゥーン2,10144.0,3427383
2020.06.04,スプラトゥーン2,10041.0,3437424
2020.06.11,スプラトゥーン2,9226.0,3446650
2020.06.18,スプラトゥーン2,8692.0,3455342
2020.06.26,スプラトゥーン2,7886.0,3463228
2020.07.03,スプラトゥーン2,7407.0,3470635
2020.07.10,スプラトゥーン2,8114.0,3478749
2020.07.17,スプラトゥーン2,7450.0,3486199
2020.07.24,スプラトゥーン2,7104.0,3493303
2020.07.31,スプラトゥーン2,9744.0,3503047.0
2020.08.07,スプラトゥーン2,7653.0,3510700
2020.08.14,スプラトゥーン2,8358.0,3519058
2020.08.21,スプラトゥーン2,11416.0,3530474
2020.08.28,スプラトゥーン2,7459.0,3537933
2020.09.04,スプラトゥーン2,6830.0,3544763
2020.09.11,スプラトゥーン2,6916.0,3551679
2020.09.18,スプラトゥーン2,6126.0,3557805
2020.09.25,スプラトゥーン2,6075.0,3563880
2020.10.02,スプラトゥーン2,6329.0,3570209
2020.10.09,スプラトゥーン2,4965.0,3575174
2020.10.16,スプラトゥーン2,4905.0,3580079
2020.10.23,スプラトゥーン2,4418.0,3584497
2020.10.30,スプラトゥーン2,3651.0,3588148
2020.11.06,スプラトゥーン2,9407.0,3753205
2020.11.13,スプラトゥーン2,9514.0,3762719
2020.11.20,スプラトゥーン2,8619.0,3771338
2020.11.27,スプラトゥーン2,7628.0,3778966.0
2020.12.04,スプラトゥーン2,8521.0,3787487
2020.12.11,スプラトゥーン2,9115.0,3796602
2020.12.18,スプラトゥーン2,8268.0,3804870
2020.12.25,スプラトゥーン2,7349.0,3812219
2021.01.01,スプラトゥーン2,32028.0,3688389
2021.01.08,スプラトゥーン2,29874.0,3718263
2021.01.15,スプラトゥーン2,13895.0,3732158
2021.01.22,スプラトゥーン2,11640.0,3743798
2021.01.29,スプラトゥーン2,9407.0,3753205
2021.02.05,スプラトゥーン2,9514.0,3762719
2021.02.12,スプラトゥーン2,8619.0,3771338
2021.02.19,スプラトゥーン2,7628.0,3778966.0
