,title,week,sum
2017.03.09,,,
2017.03.16,,,
2017.03.23,,,
2017.03.30,,,
2017.04.06,,,
2017.04.13,,,
2017.04.20,,,
2017.04.27,,,
2017.05.04,,,
2017.05.11,,,
2017.05.18,,,
2017.05.25,,,
2017.06.01,,,
2017.06.08,,,
2017.06.15,,,
2017.06.22,,,
2017.06.29,,,
2017.07.06,,,
2017.07.13,,,
2017.07.20,,,
2017.07.27,,,
2017.08.03,,,
2017.08.10,,,
2017.08.17,,,
2017.08.24,,,
2017.08.31,,,
2017.09.07,,,
2017.09.14,,,
2017.09.21,,,
2017.09.28,,,
2017.10.05,,,
2017.10.12,,,
2017.10.19,,,
2017.10.26,,,
2017.11.02,,,
2017.11.09,マリオパーティ100 ミニゲームコレクション,52181.0,52181
2017.11.16,マリオパーティ100 ミニゲームコレクション,51818.0,103999
2017.11.23,マリオパーティ100 ミニゲームコレクション,20320.0,124319
2017.11.30,マリオパーティ100 ミニゲームコレクション,11454.0,135773
2017.12.07,,,
2017.12.14,マリオパーティ100 ミニゲームコレクション,7037.0,149345
2017.12.21,,,
2017.12.28,,,
2018.01.11,マリオパーティ100 ミニゲームコレクション,51818.0,103999
2018.01.18,マリオパーティ100 ミニゲームコレクション,20320.0,124319
2018.01.25,マリオパーティ100 ミニゲームコレクション,11454.0,135773
2018.02.01,,,
2018.02.08,マリオパーティ100 ミニゲームコレクション,7037.0,149345
2018.02.15,,,
2018.02.22,,,
2018.03.01,,,
2018.03.08,,,
2018.03.15,,,
2018.03.22,,,
2018.03.29,,,
2018.04.05,,,
2018.04.12,,,
2018.04.19,,,
2018.04.26,,,
2018.05.03,,,
2018.05.10,,,
2018.05.17,,,
2018.05.24,,,
2018.05.31,,,
2018.06.07,,,
2018.06.14,,,
2018.06.21,,,
2018.06.28,,,
2018.07.05,,,
2018.07.12,,,
2018.07.19,,,
2018.07.26,,,
2018.08.02,,,
2018.08.09,,,
2018.08.16,,,
2018.08.23,,,
2018.08.30,,,
2018.09.06,,,
2018.09.13,,,
2018.09.20,,,
2018.09.27,,,
2018.10.04,,,
2018.10.11,スーパーマリオパーティ,142868.0,142868
2018.10.18,スーパーマリオパーティ,63451.0,206319
2018.10.25,スーパーマリオパーティ,36381.0,242700
2018.11.01,スーパーマリオパーティ,31650.0,274350
2018.11.08,スーパーマリオパーティ,27001.0,301351
2018.11.15,スーパーマリオパーティ,23333.0,324685
2018.11.22,スーパーマリオパーティ,20942.0,345627
2018.11.29,スーパーマリオパーティ,24450.0,370077
2018.12.06,,,
2018.12.13,,,
2018.12.20,,,
2018.12.27,スーパー マリオパーティ,6305.0,991550
2019.01.03,スーパーマリオパーティ（同梱版含む）,98682.0,841037
2019.01.10,スーパーマリオパーティ（同梱版含む）,95102.0,936140
2019.01.17,スーパーマリオパーティ（同梱版含む）,19054.0,955194
2019.01.24,スーパーマリオパーティ（同梱版含む）,16752.0,971945
2019.01.31,スーパーマリオパーティ（同梱版含む）,11958.0,983903
2019.02.07,スーパーマリオパーティ（同梱版含む）,12181.0,996084
2019.02.14,スーパーマリオパーティ（同梱版含む）,11863.0,1007947
2019.02.21,,,
2019.02.28,スーパーマリオパーティ（同梱版含む）,8770.0,1027659
2019.03.07,スーパーマリオパーティ（同梱版含む）,9900.0,1037559
2019.03.14,スーパーマリオパーティ（同梱版含む）,9230.0,1046789
2019.03.21,,,
2019.03.28,,,
2019.04.04,,,
2019.04.11,スーパー マリオパーティ,6305.0,991550
2019.04.18,,,
2019.04.25,,,
2019.05.02,,,
2019.05.09,スーパー マリオパーティ,13272.0,1020100
2019.05.16,スーパー マリオパーティ,5037.0,1025137
2019.05.23,,,
2019.05.30,,,
2019.06.06,スーパー マリオパーティ,3553.0,1035582
2019.06.13,,,
2019.06.20,スーパー マリオパーティ,3501.0,1042537
2019.06.27,,,
2019.07.04,,,
2019.07.11,,,
2019.07.18,,,
2019.07.25,,,
2019.08.01,,,
2019.08.08,,,
2019.08.15,,,
2019.08.22,スーパーマリオパーティ,9507.0,1087514
2019.08.29,,,
2019.09.05,スーパーマリオパーティ,5544.0,1097721
2019.09.12,,,
2019.09.19,,,
2019.09.26,,,
2019.10.03,,,
2019.10.10,,,
2019.10.17,,,
2019.10.24,,,
2019.10.31,スーパー マリオパーティ,8576.0,1154354.0
2019.11.07,,,
2019.11.14,スーパー マリオパーティ,13872.0,1177650
2019.11.21,,,
2019.11.28,スーパー マリオパーティ,32041.0,1229061
2019.12.05,スーパー マリオパーティ,34649.0,1263710
2019.12.12,スーパー マリオパーティ,37903.0,1301613
2019.12.19,スーパー マリオパーティ,9560.0,1311173
2019.12.26,,,
2020.01.02,スーパー マリオパーティ,34649.0,1263710
2020.01.09,スーパー マリオパーティ,37903.0,1301613
2020.01.16,スーパー マリオパーティ,9560.0,1311173
2020.01.23,,,
2020.01.30,,,
2020.02.06,スーパー マリオパーティ,5781.0,1330145
2020.02.13,スーパー マリオパーティ,6132.0,1336277
2020.02.20,,,
2020.02.27,,,
2020.03.05,スーパー マリオパーティ,7650.0,1354554
2020.03.12,スーパー マリオパーティ,7774.0,1362328
2020.03.19,,,
2020.03.26,スーパー マリオパーティ,6580.0,1375417
2020.04.02,,,
2020.04.09,,,
2020.04.16,スーパー マリオパーティ,8755.0,1398898
2020.04.23,スーパー マリオパーティ,8005.0,1406903
2020.04.30,スーパー マリオパーティ,9377.0,1416280
2020.05.07,スーパー マリオパーティ,13920.0,1430200
2020.05.14,スーパー マリオパーティ,10639.0,1440839
2020.05.21,スーパー マリオパーティ,5424.0,1446263
2020.05.28,スーパー マリオパーティ,4830.0,1451093
2020.06.04,スーパー マリオパーティ,5827.0,1456920
2020.06.11,スーパー マリオパーティ,5563.0,1462483
2020.06.18,スーパー マリオパーティ,4855.0,1467338
2020.06.26,スーパー マリオパーティ,4485.0,1471823
2020.07.03,スーパー マリオパーティ,4402.0,1476225
2020.07.10,スーパー マリオパーティ,4903.0,1481128
2020.07.17,スーパー マリオパーティ,5331.0,1486459
2020.07.24,スーパー マリオパーティ,5190.0,1491649
2020.07.31,スーパー マリオパーティ,8071.0,1499720.0
2020.08.07,スーパー マリオパーティ,6257.0,1505977
2020.08.14,スーパー マリオパーティ,8863.0,1514840
2020.08.21,スーパー マリオパーティ,12293.0,1527133
2020.08.28,スーパー マリオパーティ,5820.0,1532953
2020.09.04,スーパー マリオパーティ,5193.0,1538146
2020.09.11,スーパー マリオパーティ,5819.0,1543965
2020.09.18,スーパー マリオパーティ,5283.0,1549248
2020.09.25,スーパー マリオパーティ,5683.0,1554931
2020.10.02,スーパー マリオパーティ,5938.0,1560869
2020.10.09,スーパー マリオパーティ,5228.0,1566097
2020.10.16,スーパー マリオパーティ,5911.0,1572008
2020.10.23,スーパー マリオパーティ,5140.0,1577148
2020.10.30,スーパー マリオパーティ,3739.0,1580887
2020.11.06,スーパー マリオパーティ,7623.0,1805240
2020.11.13,スーパー マリオパーティ,6662.0,1811902
2020.11.20,スーパー マリオパーティ,6503.0,1818405
2020.11.27,スーパー マリオパーティ,5925.0,1824330.0
2020.12.04,スーパー マリオパーティ,4800.0,1829130
2020.12.11,スーパー マリオパーティ,4479.0,1833609
2020.12.18,スーパー マリオパーティ,4533.0,1838142
2020.12.25,スーパー マリオパーティ,4023.0,1842165
2021.01.01,スーパー マリオパーティ,41856.0,1729796
2021.01.08,スーパー マリオパーティ,44867.0,1774663
2021.01.15,スーパー マリオパーティ,12885.0,1787548
2021.01.22,スーパー マリオパーティ,10069.0,1797617
2021.01.29,スーパー マリオパーティ,7623.0,1805240
2021.02.05,スーパー マリオパーティ,6662.0,1811902
2021.02.12,スーパー マリオパーティ,6503.0,1818405
2021.02.19,スーパー マリオパーティ,5925.0,1824330.0
2021.02.26,スーパー マリオパーティ,4800.0,1829130
2021.03.05,スーパー マリオパーティ,4479.0,1833609
2021.03.12,スーパー マリオパーティ,4533.0,1838142
2021.03.19,スーパー マリオパーティ,4023.0,1842165
2021.03.26,スーパー マリオパーティ,3978.0,1846143
2021.04.02,スーパー マリオパーティ,4626.0,1850769
2021.04.09,スーパー マリオパーティ,4098.0,1854867
2021.04.16,スーパー マリオパーティ,3545.0,1858412
2021.04.23,スーパー マリオパーティ,3297.0,1861709
2021.04.30,スーパー マリオパーティ,3875.0,1865584
2021.05.07,スーパー マリオパーティ,9562.0,1875146
2021.05.14,スーパー マリオパーティ,8477.0,1883623.0
2021.05.21,スーパー マリオパーティ,4734.0,1888357.0
2021.05.28,スーパー マリオパーティ,4960.0,1893317
2021.06.04,スーパー マリオパーティ,4956.0,1898273
2021.06.18,スーパー マリオパーティ,5262.0,1909313
2021.06.25,スーパー マリオパーティ,4716.0,1914029
2021.07.02,スーパー マリオパーティ,4459.0,1918488
2021.07.09,スーパー マリオパーティ,5599.0,1924087
2021.07.16,スーパー マリオパーティ,5237.0,1929324
2021.07.23,スーパー マリオパーティ,4733.0,1934057
2021.07.30,スーパー マリオパーティ,6177.0,1940234
2021.08.06,スーパー マリオパーティ,5118.0,1945352
