,title,week,sum
2017.03.09,,,
2017.03.16,,,
2017.03.23,,,
2017.03.30,,,
2017.04.06,,,
2017.04.13,,,
2017.04.20,,,
2017.04.27,,,
2017.05.04,,,
2017.05.11,,,
2017.05.18,,,
2017.05.25,,,
2017.06.01,,,
2017.06.08,,,
2017.06.15,,,
2017.06.22,,,
2017.06.29,,,
2017.07.06,,,
2017.07.13,,,
2017.07.20,,,
2017.07.27,,,
2017.08.03,,,
2017.08.10,,,
2017.08.17,,,
2017.08.24,,,
2017.08.31,,,
2017.09.07,,,
2017.09.14,,,
2017.09.21,,,
2017.09.28,,,
2017.10.05,,,
2017.10.12,スーパーマリオ オデッセイ（同梱版含む）,61596.0,853654
2017.10.19,スーパーマリオ オデッセイ（同梱版含む）,95816.0,949470
2017.10.26,スーパーマリオ オデッセイ（同梱版含む）,133180.0,1082650
2017.11.02,スーパーマリオ オデッセイ（同梱版含む）,209630.0,1292281
2017.11.09,スーパーマリオ オデッセイ（同梱版含む）,105051.0,1397332
2017.11.16,スーパーマリオ オデッセイ（同梱版含む）,110816.0,1508148
2017.11.23,スーパーマリオ オデッセイ（同梱版含む）,28193.0,1536340
2017.11.30,スーパーマリオ オデッセイ（同梱版含む）,18972.0,1555312
2017.12.07,スーパーマリオ オデッセイ（同梱版含む）,16664.0,1571976
2017.12.14,スーパーマリオ オデッセイ（同梱版含む）,15978.0,1587954
2017.12.21,スーパーマリオ オデッセイ（同梱版含む）,13912.0,1601866
2017.12.28,,,
2018.01.11,スーパーマリオ オデッセイ（同梱版含む）,110816.0,1508148
2018.01.18,スーパーマリオ オデッセイ（同梱版含む）,28193.0,1536340
2018.01.25,スーパーマリオ オデッセイ（同梱版含む）,18972.0,1555312
2018.02.01,スーパーマリオ オデッセイ（同梱版含む）,16664.0,1571976
2018.02.08,スーパーマリオ オデッセイ（同梱版含む）,15978.0,1587954
2018.02.15,スーパーマリオ オデッセイ（同梱版含む）,13912.0,1601866
2018.02.22,,,
2018.03.01,スーパーマリオ オデッセイ（同梱版含む）,11639.0,1626145
2018.03.08,スーパーマリオ オデッセイ（同梱版含む）,11667.0,1637812
2018.03.15,スーパーマリオ オデッセイ（同梱版含む）,11043.0,1648855
2018.03.22,スーパーマリオ オデッセイ（同梱版含む）,9076.0,1657931
2018.03.29,,,
2018.04.05,,,
2018.04.12,,,
2018.04.19,スーパーマリオ オデッセイ（同梱版含む）,6924.0,1691031
2018.04.26,,,
2018.05.03,,,
2018.05.10,スーパーマリオ オデッセイ（同梱版含む）,11873.0,1716639
2018.05.17,スーパーマリオ オデッセイ（同梱版含む）,4597.0,1721235
2018.05.24,スーパーマリオ オデッセイ（同梱版含む）,4632.0,1725867
2018.05.31,,,
2018.06.07,,,
2018.06.14,,,
2018.06.21,スーパーマリオ オデッセイ（同梱版含む）,5482.0,1745894
2018.06.28,スーパーマリオ オデッセイ（同梱版含む）,5136.0,1751030
2018.07.05,スーパーマリオ オデッセイ（同梱版含む）,5058.0,1756088
2018.07.12,スーパーマリオ オデッセイ（同梱版含む）,5333.0,1761421
2018.07.19,,,
2018.07.26,,,
2018.08.02,,,
2018.08.09,,,
2018.08.16,,,
2018.08.23,,,
2018.08.30,,,
2018.09.06,,,
2018.09.13,,,
2018.09.20,,,
2018.09.27,,,
2018.10.04,,,
2018.10.11,,,
2018.10.18,,,
2018.10.25,,,
2018.11.01,,,
2018.11.08,,,
2018.11.15,スーパーマリオ オデッセイ（限定版、同梱版含む）,3780.0,1841692
2018.11.22,,,
2018.11.29,,,
2018.12.06,,,
2018.12.13,,,
2018.12.20,,,
2018.12.27,,,
2019.01.03,,,
2019.01.10,,,
2019.01.17,,,
2019.01.24,,,
2019.01.31,,,
2019.02.07,,,
2019.02.14,,,
2019.02.21,,,
2019.02.28,,,
2019.03.07,,,
2019.03.14,,,
2019.03.21,,,
2019.03.28,,,
2019.04.04,,,
2019.04.11,,,
2019.04.18,,,
2019.04.25,,,
2019.05.02,,,
2019.05.09,,,
2019.05.16,,,
2019.05.23,,,
2019.05.30,,,
2019.06.06,,,
2019.06.13,,,
2019.06.20,,,
2019.06.27,,,
2019.07.04,,,
2019.07.11,,,
2019.07.18,,,
2019.07.25,,,
2019.08.01,,,
2019.08.08,,,
2019.08.15,,,
2019.08.22,,,
2019.08.29,,,
2019.09.05,,,
2019.09.12,,,
2019.09.19,,,
2019.09.26,,,
2019.10.03,,,
2019.10.10,,,
2019.10.17,,,
2019.10.24,,,
2019.10.31,,,
2019.11.07,,,
2019.11.14,,,
2019.11.21,,,
2019.11.28,,,
2019.12.05,,,
2019.12.12,,,
2019.12.19,,,
2019.12.26,,,
2020.01.02,,,
2020.01.09,,,
2020.01.16,,,
2020.01.23,,,
2020.01.30,,,
2020.02.06,,,
2020.02.13,,,
2020.02.20,,,
2020.02.27,,,
2020.03.05,,,
2020.03.12,,,
2020.03.19,,,
2020.03.26,,,
2020.04.02,,,
2020.04.09,,,
2020.04.16,,,
2020.04.23,,,
2020.04.30,,,
2020.05.07,,,
2020.05.14,,,
2020.05.21,スーパーマリオ オデッセイ,1564.0,2097004
2020.05.28,,,
2020.06.04,,,
2020.06.11,,,
2020.06.18,スーパーマリオ オデッセイ,1588.0,2103236
2020.06.26,スーパーマリオ オデッセイ,1465.0,2104701
2020.07.03,スーパーマリオ オデッセイ,1491.0,2106192
2020.07.10,,,
2020.07.17,スーパーマリオ オデッセイ,1654.0,2109315
2020.07.24,スーパーマリオ オデッセイ,1675.0,2110990
2020.07.31,スーパーマリオ オデッセイ,2004.0,2112994.0
2020.08.07,,,
2020.08.14,スーパーマリオ オデッセイ,1721.0,2116150
2020.08.21,スーパーマリオ オデッセイ,2081.0,2118231
2020.08.28,スーパーマリオ オデッセイ,1267.0,2119498
2020.09.04,,,
2020.09.11,,,
2020.09.18,スーパーマリオ オデッセイ,1858.0,2123864
2020.09.25,スーパーマリオ オデッセイ,2113.0,2125977
2020.10.02,スーパーマリオ オデッセイ,2619.0,2128596
2020.10.09,スーパーマリオ オデッセイ,2019.0,2130615
2020.10.16,スーパーマリオ オデッセイ,2178.0,2132793
2020.10.23,スーパーマリオ オデッセイ,2086.0,2134879
2020.10.30,スーパーマリオ オデッセイ,1605.0,2136484
2020.11.06,スーパーマリオ オデッセイ,2733.0,2203415
2020.11.13,スーパーマリオ オデッセイ,2652.0,2206067
2020.11.20,スーパーマリオ オデッセイ,2408.0,2208475
2020.11.27,スーパーマリオ オデッセイ,2255.0,2210730.0
2020.12.04,スーパーマリオ オデッセイ,1751.0,2212481
2020.12.11,,,
2020.12.18,,,
2020.12.25,スーパーマリオ オデッセイ,1689.0,2217805
2021.01.01,スーパーマリオ オデッセイ,9620.0,2176045
2021.01.08,スーパーマリオ オデッセイ,14401.0,2190446
2021.01.15,スーパーマリオ オデッセイ,6983.0,2197429
2021.01.22,スーパーマリオ オデッセイ,3253.0,2200682
2021.01.29,スーパーマリオ オデッセイ,2733.0,2203415
2021.02.05,スーパーマリオ オデッセイ,2652.0,2206067
2021.02.12,スーパーマリオ オデッセイ,2408.0,2208475
2021.02.19,スーパーマリオ オデッセイ,2255.0,2210730.0
2021.02.26,スーパーマリオ オデッセイ,1751.0,2212481
2021.03.05,,,
2021.03.12,,,
2021.03.19,スーパーマリオ オデッセイ,1689.0,2217805
2021.03.26,,,
2021.04.02,,,
2021.04.09,,,
2021.04.16,スーパーマリオ オデッセイ,1712.0,2224385
2021.04.23,スーパーマリオ オデッセイ,1525.0,2225910
2021.04.30,,,
2021.05.07,スーパーマリオ オデッセイ,2666.0,2230196
2021.05.14,スーパーマリオ オデッセイ,2842.0,2233038.0
2021.05.21,,,
2021.05.28,,,
2021.06.04,,,
2021.06.18,,,
2021.06.25,スーパーマリオ オデッセイ,1623.0,2241841
2021.07.02,,,
2021.07.09,スーパーマリオ オデッセイ,1757.0,2245111
2021.07.16,スーパーマリオ オデッセイ,1666.0,2246777
2021.07.23,,,
2021.07.30,スーパーマリオ オデッセイ,2702.0,2250994
2021.08.06,,,
