,title,week,sum
2017.03.09,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,186379.0,186379.0
2017.03.16,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,44483.0,230862.0
2017.03.23,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,32115.0,262977.0
2017.03.30,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,39103.0,302080.0
2017.04.06,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,29307.0,331387.0
2017.04.13,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,23016.0,354404.0
2017.04.20,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,20888.0,375291.0
2017.04.27,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,20364.0,395655.0
2017.05.04,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,25286.0,420941.0
2017.05.11,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,21926.0,442867.0
2017.05.18,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,11916.0,454783.0
2017.05.25,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,10849.0,465631.0
2017.06.01,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,10390.0,476021.0
2017.06.08,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,9666.0,485687.0
2017.06.15,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,8839.0,484526.0
2017.06.22,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,10200.0,504726.0
2017.06.29,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,8312.0,513038.0
2017.07.06,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,9144.0,522182.0
2017.07.13,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,7830.0,530012.0
2017.07.20,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,7015.0,537027.0
2017.07.27,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,5989.0,543016.0
2017.08.03,,,
2017.08.10,,,
2017.08.17,,,
2017.08.24,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,5268.0,566032.0
2017.08.31,,,
2017.09.07,,,
2017.09.14,,,
2017.09.21,,,
2017.09.28,,,
2017.10.05,,,
2017.10.12,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,11634.0,668649.0
2017.10.19,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,14342.0,682992.0
2017.10.26,,,
2017.11.02,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,35565.0,738026.0
2017.11.09,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,33024.0,771050.0
2017.11.16,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,31761.0,802811.0
2017.11.23,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,12415.0,815227.0
2017.11.30,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,9502.0,824728.0
2017.12.07,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,10240.0,834968.0
2017.12.14,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,12709.0,847677.0
2017.12.21,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,12087.0,859764.0
2017.12.28,,,
2018.01.11,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,31761.0,802811.0
2018.01.18,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,12415.0,815227.0
2018.01.25,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,9502.0,824728.0
2018.02.01,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,10240.0,834968.0
2018.02.08,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,12709.0,847677.0
2018.02.15,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,12087.0,859764.0
2018.02.22,,,
2018.03.01,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,12252.0,883780.0
2018.03.08,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,12675.0,896455.0
2018.03.15,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,11611.0,908067.0
2018.03.22,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,10434.0,918501.0
2018.03.29,,,
2018.04.05,,,
2018.04.12,,,
2018.04.19,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,6990.0,954532.0
2018.04.26,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,6895.0,961427.0
2018.05.03,,,
2018.05.10,,,
2018.05.17,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,5754.0,986181.0
2018.05.24,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,5687.0,991867.0
2018.05.31,,,
2018.06.07,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,6722.0,1004689.0
2018.06.14,,,
2018.06.21,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,6939.0,1018144.0
2018.06.28,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,6486.0,1024630.0
2018.07.05,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,6143.0,1030773.0
2018.07.12,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,6322.0,1037095.0
2018.07.19,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,6622.0,1043717.0
2018.07.26,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,7173.0,1050891.0
2018.08.02,,,
2018.08.09,,,
2018.08.16,,,
2018.08.23,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,9682.0,1084321.0
2018.08.30,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,7472.0,1091794.0
2018.09.06,,,
2018.09.13,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,6515.0,1105725.0
2018.09.20,,,
2018.09.27,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,5910.0,1117445.0
2018.10.04,,,
2018.10.11,,,
2018.10.18,,,
2018.10.25,,,
2018.11.01,,,
2018.11.08,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,4628.0,1147476.0
2018.11.15,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,5706.0,1153183.0
2018.11.22,,,
2018.11.29,,,
2018.12.06,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,8479.0,1325825.0
2018.12.13,,,
2018.12.20,,,
2018.12.27,,,
2019.01.03,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,15250.0,1227293.0
2019.01.10,,,
2019.01.17,,,
2019.01.24,,,
2019.01.31,,,
2019.02.07,,,
2019.02.14,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,7273.0,1283831.0
2019.02.21,,,
2019.02.28,,,
2019.03.07,,,
