,title,week,sum
0,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,186379.0,186379.0
1,ゼルダの伝説 ブレス オブ ザ ワイルド,44602.0,44602.0
2,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,44483.0,230862
3,ゼルダの伝説 ブレス オブ ザ ワイルド,17482.0,62084
4,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,32115.0,262977
5,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,39103.0,302080
6,ゼルダの伝説 ブレス オブ ザ ワイルド,7796.0,81188
7,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,29307.0,331387
8,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,23016.0,354404
9,ゼルダの伝説 ブレス オブ ザ ワイルド,6487.0,95806
10,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,20888.0,375291
11,ゼルダの伝説 ブレス オブ ザ ワイルド,4740.0,100546
12,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,20364.0,395655
13,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,25286.0,420941
14,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,21926.0,442867
15,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,11916.0,454783
16,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,10849.0,465631
17,ゼルダの伝説 ブレス オブ ザ ワイルド,3286.0,122993
18,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,10390.0,476021
19,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,9666.0,485687
20,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,8839.0,484526
21,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,10200.0,504726
22,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,8312.0,513038
23,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,9144.0,522182
24,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,7830.0,530012
25,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,7015.0,537027.0
26,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,5989.0,543016
27,,,
28,,,
29,,,
30,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,5268.0,566032.0
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,11634.0,668649
38,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,14342.0,682992
39,,,
40,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,35565.0,738026
41,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,33024.0,771050
42,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,31761.0,802811
43,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,12415.0,815227
44,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,9502.0,824728
45,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,10240.0,834968
46,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,12709.0,847677
47,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,12087.0,859764
48,,,
49,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,31761.0,802811
50,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,12415.0,815227
51,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,9502.0,824728
52,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,10240.0,834968
53,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,12709.0,847677
54,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,12087.0,859764
55,,,
56,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,12252.0,883780
57,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,12675.0,896455
58,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,11611.0,908067
59,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,10434.0,918501
60,,,
61,,,
62,,,
63,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,6990.0,954532
64,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,6895.0,961427
65,,,
66,,,
67,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,5754.0,986181
68,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,5687.0,991867
69,,,
70,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,6722.0,1004689
71,,,
72,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,6939.0,1018144
73,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,6486.0,1024630
74,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,6143.0,1030773
75,ゼルダの伝説 ブレス オブ ザ ワイルド（限定版含む）,6322.0,1037095
