,title,week,sum
2017.03.09,,,
2017.03.16,,,
2017.03.23,,,
2017.03.30,,,
2017.04.06,,,
2017.04.13,,,
2017.04.20,,,
2017.04.27,,,
2017.05.04,,,
2017.05.11,,,
2017.05.18,,,
2017.05.25,,,
2017.06.01,,,
2017.06.08,,,
2017.06.15,,,
2017.06.22,,,
2017.06.29,,,
2017.07.06,,,
2017.07.13,,,
2017.07.20,,,
2017.07.27,,,
2017.08.03,,,
2017.08.10,,,
2017.08.17,,,
2017.08.24,,,
2017.08.31,,,
2017.09.07,,,
2017.09.14,,,
2017.09.21,,,
2017.09.28,,,
2017.10.05,,,
2017.10.12,,,
2017.10.19,,,
2017.10.26,,,
2017.11.02,,,
2017.11.09,,,
2017.11.16,,,
2017.11.23,,,
2017.11.30,,,
2017.12.07,,,
2017.12.14,,,
2017.12.21,,,
2017.12.28,,,
2018.01.11,,,
2018.01.18,,,
2018.01.25,,,
2018.02.01,,,
2018.02.08,,,
2018.02.15,,,
2018.02.22,,,
2018.03.01,,,
2018.03.08,,,
2018.03.15,,,
2018.03.22,,,
2018.03.29,,,
2018.04.05,,,
2018.04.12,,,
2018.04.19,,,
2018.04.26,,,
2018.05.03,,,
2018.05.10,,,
2018.05.17,,,
2018.05.24,,,
2018.05.31,,,
2018.06.07,,,
2018.06.14,,,
2018.06.21,,,
2018.06.28,,,
2018.07.05,,,
2018.07.12,,,
2018.07.19,,,
2018.07.26,,,
2018.08.02,,,
2018.08.09,,,
2018.08.16,,,
2018.08.23,,,
2018.08.30,,,
2018.09.06,,,
2018.09.13,,,
2018.09.20,,,
2018.09.27,,,
2018.10.04,,,
2018.10.11,,,
2018.10.18,,,
2018.10.25,,,
2018.11.01,,,
2018.11.08,,,
2018.11.15,,,
2018.11.22,,,
2018.11.29,,,
2018.12.06,,,
2018.12.13,,,
2018.12.20,,,
2018.12.27,,,
2019.01.03,,,
2019.01.10,,,
2019.01.17,,,
2019.01.24,,,
2019.01.31,,,
2019.02.07,,,
2019.02.14,,,
2019.02.21,,,
2019.02.28,,,
2019.03.07,,,
2019.03.14,,,
2019.03.21,,,
2019.03.28,,,
2019.04.04,,,
2019.04.11,,,
2019.04.18,,,
2019.04.25,,,
2019.05.02,,,
2019.05.09,,,
2019.05.16,,,
2019.05.23,,,
2019.05.30,,,
2019.06.06,,,
2019.06.13,,,
2019.06.20,,,
2019.06.27,,,
2019.07.04,,,
2019.07.11,,,
2019.07.18,,,
2019.07.25,,,
2019.08.01,,,
2019.08.08,,,
2019.08.15,,,
2019.08.22,,,
2019.08.29,,,
2019.09.05,,,
2019.09.12,,,
2019.09.19,,,
2019.09.26,,,
2019.10.03,,,
2019.10.10,,,
2019.10.17,,,
2019.10.24,ポケットモンスター ソード・シールド,1364544.0,1364544.0
2019.10.31,ポケットモンスター ソード・シールド,382540.0,1747084.0
2019.11.07,ポケットモンスター ソード・シールド,275959.0,2023043
2019.11.14,ポケットモンスター ソード・シールド,201838.0,2224881
2019.11.21,ポケットモンスター ソード・シールド,231578.0,2456459
2019.11.28,ポケットモンスター ソード・シールド,288199.0,2744658
2019.12.05,ポケットモンスター ソード・シールド,243476.0,2988134
2019.12.12,ポケットモンスター ソード・シールド,196925.0,3185059
2019.12.19,ポケットモンスター ソード・シールド,71695.0,3256754
2019.12.26,ポケットモンスター ソード・シールド,55604.0,3312358
2020.01.02,ポケットモンスター ソード・シールド,243476.0,2988134
2020.01.09,ポケットモンスター ソード・シールド,196925.0,3185059
2020.01.16,ポケットモンスター ソード・シールド,71695.0,3256754
2020.01.23,ポケットモンスター ソード・シールド,55604.0,3312358
2020.01.30,ポケットモンスター ソード・シールド,37950.0,3350308
2020.02.06,ポケットモンスター ソード・シールド,29429.0,3379737
2020.02.13,ポケットモンスター ソード・シールド,23114.0,3402851
2020.02.20,ポケットモンスター ソード・シールド,24534.0,3427385
2020.02.27,ポケットモンスター ソード・シールド,18403.0,3445788
2020.03.05,ポケットモンスター ソード・シールド,24886.0,3470674
2020.03.12,ポケットモンスター ソード・シールド,20679.0,3491353
2020.03.19,ポケットモンスター ソード・シールド,18567.0,3509920
2020.03.26,ポケットモンスター ソード・シールド,17608.0,3527528
2020.04.02,ポケットモンスター ソード・シールド,14996.0,3542524
2020.04.09,ポケットモンスター ソード・シールド,11017.0,3553541
2020.04.16,ポケットモンスター ソード・シールド,9037.0,3562578
2020.04.23,ポケットモンスター ソード・シールド,7915.0,3570493
2020.04.30,,,
2020.05.07,,,
2020.05.14,,,
2020.05.21,ポケットモンスター ソード・シールド,4047.0,3597755
2020.05.28,ポケットモンスター ソード・シールド,4497.0,3602252
2020.06.04,ポケットモンスター ソード・シールド,5707.0,3607959
2020.06.11,ポケットモンスター ソード・シールド,6368.0,3614327
2020.06.18,ポケットモンスター ソード・シールド,6741.0,3621068
2020.06.26,ポケットモンスター ソード・シールド,9195.0,3630263
2020.07.03,ポケットモンスター ソード・シールド,8730.0,3638993
2020.07.10,ポケットモンスター ソード・シールド,8111.0,3647104
2020.07.17,ポケットモンスター ソード・シールド,7857.0,3654961
2020.07.24,ポケットモンスター ソード・シールド,7843.0,3662804
2020.07.31,ポケットモンスター ソード・シールド,9845.0,3672649.0
2020.08.07,ポケットモンスター ソード・シールド,7946.0,3680595
2020.08.14,ポケットモンスター ソード・シールド,9847.0,3690442
2020.08.21,ポケットモンスター ソード・シールド,12603.0,3703045
2020.08.28,ポケットモンスター ソード・シールド,8016.0,3711061
2020.09.04,ポケットモンスター ソード・シールド,6936.0,3717997
2020.09.11,ポケットモンスター ソード・シールド,6960.0,3724957
2020.09.18,ポケットモンスター ソード・シールド,6492.0,3731449
2020.09.25,ポケットモンスター ソード・シールド,6887.0,3738336
2020.10.02,ポケットモンスター ソード・シールド,7019.0,3745355
2020.10.09,ポケットモンスター ソード・シールド,7416.0,3752771
2020.10.16,ポケットモンスター ソード・シールド,7145.0,3759916
2020.10.23,ポケットモンスター ソード・シールド,6720.0,3766636
2020.10.30,ポケットモンスター ソード・シールド,7088.0,3773724
2020.11.06,ポケットモンスター ソード・シールド,8847.0,3938093
2020.11.13,ポケットモンスター ソード・シールド,9163.0,3947256
2020.11.20,ポケットモンスター ソード・シールド,8298.0,3955554
2020.11.27,ポケットモンスター ソード・シールド,8324.0,3963878.0
2020.12.04,ポケットモンスター ソード・シールド,7720.0,3971598
2020.12.11,ポケットモンスター ソード・シールド,9069.0,3980667
2020.12.18,ポケットモンスター ソード・シールド,10094.0,3990761
2020.12.25,ポケットモンスター ソード・シールド,8379.0,3999140
2021.01.01,ポケットモンスター ソード・シールド,28535.0,3880590
2021.01.08,ポケットモンスター ソード・シールド,26717.0,3907307
2021.01.15,ポケットモンスター ソード・シールド,12057.0,3919364
2021.01.22,ポケットモンスター ソード・シールド,9882.0,3929246
2021.01.29,ポケットモンスター ソード・シールド,8847.0,3938093
2021.02.05,ポケットモンスター ソード・シールド,9163.0,3947256
2021.02.12,ポケットモンスター ソード・シールド,8298.0,3955554
2021.02.19,ポケットモンスター ソード・シールド,8324.0,3963878.0
2021.02.26,ポケットモンスター ソード・シールド,7720.0,3971598
2021.03.05,ポケットモンスター ソード・シールド,9069.0,3980667
2021.03.12,ポケットモンスター ソード・シールド,10094.0,3990761
2021.03.19,ポケットモンスター ソード・シールド,8379.0,3999140
2021.03.26,ポケットモンスター ソード・シールド,7764.0,4006904
2021.04.02,ポケットモンスター ソード・シールド,7472.0,4014376
2021.04.09,ポケットモンスター ソード・シールド,4902.0,4019278
2021.04.16,ポケットモンスター ソード・シールド,4634.0,4023912
2021.04.23,ポケットモンスター ソード・シールド,4080.0,4027992
2021.04.30,ポケットモンスター ソード・シールド,4541.0,4032533
2021.05.07,ポケットモンスター ソード・シールド,6547.0,4039080
2021.05.14,ポケットモンスター ソード・シールド,5956.0,4045036.0
2021.05.21,ポケットモンスター ソード・シールド,3983.0,4049019.0
2021.05.28,ポケットモンスター ソード・シールド,3649.0,4052668
2021.06.04,ポケットモンスター ソード・シールド,3572.0,4056240
2021.06.18,ポケットモンスター ソード・シールド,3534.0,4063641
2021.06.25,ポケットモンスター ソード・シールド,4079.0,4067720
2021.07.02,ポケットモンスター ソード・シールド,3629.0,4071349
2021.07.09,ポケットモンスター ソード・シールド,4123.0,4075472
2021.07.16,ポケットモンスター ソード・シールド,4533.0,4080005
2021.07.23,ポケットモンスター ソード・シールド,4141.0,4084146
2021.07.30,ポケットモンスター ソード・シールド,5378.0,4089524
2021.08.06,ポケットモンスター ソード・シールド,4827.0,4094351
