,title,week,sum
2017.03.09,,,
2017.03.16,,,
2017.03.23,,,
2017.03.30,,,
2017.04.06,,,
2017.04.13,,,
2017.04.20,,,
2017.04.27,,,
2017.05.04,マリオカート8 デラックス,284823.0,284823
2017.05.11,マリオカート8 デラックス,90652.0,375475
2017.05.18,マリオカート8 デラックス,36440.0,411915
2017.05.25,マリオカート8 デラックス,28781.0,440696
2017.06.01,マリオカート8 デラックス,26993.0,467689
2017.06.08,マリオカート8 デラックス,20984.0,488673
2017.06.15,マリオカート8 デラックス,16596.0,505270
2017.06.22,マリオカート8 デラックス,16822.0,522091
2017.06.29,マリオカート8 デラックス,13545.0,535636
2017.07.06,マリオカート8 デラックス,14423.0,550059
2017.07.13,マリオカート8 デラックス,13436.0,563495
2017.07.20,マリオカート8 デラックス,11554.0,575048.0
2017.07.27,マリオカート8 デラックス,12980.0,588028
2017.08.03,マリオカート8 デラックス,13841.0,601869
2017.08.10,マリオカート8 デラックス,13764.0,615633
2017.08.17,マリオカート8 デラックス,17262.0,632894
2017.08.24,マリオカート8 デラックス,13589.0,646483.0
2017.08.31,マリオカート8 デラックス,13731.0,660214
2017.09.07,マリオカート8 デラックス,12474.0,672688
2017.09.14,マリオカート8 デラックス,10526.0,683214
2017.09.21,マリオカート8 デラックス,10971.0,694185
2017.09.28,マリオカート8 デラックス,11457.0,705642
2017.10.05,マリオカート8 デラックス,15098.0,720741
2017.10.12,マリオカート8 デラックス,23388.0,861238
2017.10.19,マリオカート8 デラックス,33315.0,894553
2017.10.26,マリオカート8 デラックス,50679.0,945232
2017.11.02,マリオカート8 デラックス,100205.0,1045438
2017.11.09,マリオカート8 デラックス,87356.0,1132793
2017.11.16,マリオカート8 デラックス,82806.0,1215599
2017.11.23,マリオカート8 デラックス,22836.0,1238435
2017.11.30,マリオカート8 デラックス,26365.0,1264800
2017.12.07,マリオカート8 デラックス,21834.0,1286634
2017.12.14,マリオカート8 デラックス,21263.0,1307897
2017.12.21,マリオカート8 デラックス,19210.0,1327107
2017.12.28,マリオカート8 デラックス,19280.0,1346387
2018.01.11,マリオカート8 デラックス,82806.0,1215599
2018.01.18,マリオカート8 デラックス,22836.0,1238435
2018.01.25,マリオカート8 デラックス,26365.0,1264800
2018.02.01,マリオカート8 デラックス,21834.0,1286634
2018.02.08,マリオカート8 デラックス,21263.0,1307897
2018.02.15,マリオカート8 デラックス,19210.0,1327107
2018.02.22,マリオカート8 デラックス,19280.0,1346387
2018.03.01,マリオカート8 デラックス,17259.0,1363646
2018.03.08,マリオカート8 デラックス,18828.0,1382474
2018.03.15,マリオカート8 デラックス,17329.0,1399804
2018.03.22,マリオカート8 デラックス,15408.0,1415211
2018.03.29,,,
2018.04.05,マリオカート8 デラックス,14486.0,1446986
2018.04.12,,,
2018.04.19,マリオカート8 デラックス,12415.0,1473250
2018.04.26,マリオカート8 デラックス,11393.0,1484644
2018.05.03,マリオカート8 デラックス,13191.0,1497835
2018.05.10,マリオカート8 デラックス,23983.0,1521818
2018.05.17,マリオカート8 デラックス,10383.0,1532201
2018.05.24,マリオカート8 デラックス,10071.0,1542271
2018.05.31,マリオカート8 デラックス,9221.0,1551492
2018.06.07,マリオカート8 デラックス,10656.0,1562148
2018.06.14,マリオカート8 デラックス,10063.0,1572211
2018.06.21,マリオカート8 デラックス,10885.0,1583096
2018.06.28,マリオカート8 デラックス,10296.0,1593392
2018.07.05,マリオカート8 デラックス,10774.0,1604166
2018.07.12,マリオカート8 デラックス,12090.0,1616256
2018.07.19,マリオカート8 デラックス,11417.0,1627674
2018.07.26,マリオカート8 デラックス,13435.0,1641109
2018.08.02,マリオカート8 デラックス,13887.0,1654996
2018.08.09,マリオカート8 デラックス,15755.0,1670751
2018.08.16,マリオカート8 デラックス,17795.0,1688546
2018.08.23,マリオカート8 デラックス,20346.0,1708892
2018.08.30,マリオカート8 デラックス,13146.0,1722038
2018.09.06,マリオカート8 デラックス,13259.0,1735297
2018.09.13,マリオカート8 デラックス,11877.0,1747174
2018.09.20,マリオカート8 デラックス,10689.0,1757864
2018.09.27,マリオカート8 デラックス,10288.0,1768152
2018.10.04,,,
2018.10.11,,,
2018.10.18,マリオカート8 デラックス,8352.0,1797018
2018.10.25,マリオカート8 デラックス,6774.0,1803792
2018.11.01,マリオカート8 デラックス,6486.0,1810278
2018.11.08,マリオカート8 デラックス,8000.0,1818277
2018.11.15,マリオカート8 デラックス,8466.0,1826744
2018.11.22,マリオカート8 デラックス,9319.0,1836063
2018.11.29,マリオカート8 デラックス,11714.0,1847777
2018.12.06,マリオカート8 デラックス,11288.0,2178288
2018.12.13,,,
2018.12.20,マリオカート8 デラックス,10889.0,2236865
2018.12.27,マリオカート8 デラックス,9551.0,2246416
2019.01.03,マリオカート8 デラックス,41872.0,2000142
2019.01.10,マリオカート8 デラックス,55758.0,2055899
2019.01.17,マリオカート8 デラックス,14991.0,2070890
2019.01.24,マリオカート8 デラックス,15062.0,2085952
2019.01.31,マリオカート8 デラックス,10860.0,2096812
2019.02.07,マリオカート8 デラックス,11710.0,2108522
2019.02.14,マリオカート8 デラックス,12250.0,2120772
2019.02.21,マリオカート8 デラックス,12249.0,2133021
2019.02.28,マリオカート8 デラックス,9308.0,2142329
2019.03.07,マリオカート8 デラックス,12369.0,2154698
2019.03.14,マリオカート8 デラックス,12301.0,2166999
2019.03.21,マリオカート8 デラックス,11288.0,2178288
2019.03.28,,,
2019.04.04,マリオカート8 デラックス,10889.0,2236865
2019.04.11,マリオカート8 デラックス,9551.0,2246416
2019.04.18,マリオカート8 デラックス,7834.0,2254250
2019.04.25,,,
2019.05.02,マリオカート8 デラックス,8456.0,2269581
2019.05.09,マリオカート8 デラックス,17723.0,2287304
2019.05.16,マリオカート8 デラックス,8431.0,2295735
2019.05.23,マリオカート8 デラックス,7258.0,2302993.0
2019.05.30,マリオカート8 デラックス,7193.0,2310186
2019.06.06,マリオカート8 デラックス,7867.0,2318053
2019.06.13,マリオカート8 デラックス,8105.0,2326158
2019.06.20,マリオカート8 デラックス,7765.0,2333923
2019.06.27,マリオカート8 デラックス,6758.0,2340681
2019.07.04,マリオカート8 デラックス,8108.0,2348789
2019.07.11,マリオカート8 デラックス,8183.0,2356972
2019.07.18,マリオカート8 デラックス,7687.0,2364659
2019.07.25,マリオカート8 デラックス,7905.0,372564:
2019.08.01,マリオカート8 デラックス,7849.0,2380413
2019.08.08,マリオカート8 デラックス,8994.0,2389407
2019.08.15,マリオカート8 デラックス,9882.0,2399290
2019.08.22,マリオカート8 デラックス,14977.0,2414267
2019.08.29,マリオカート8 デラックス,7613.0,2421880
2019.09.05,マリオカート8 デラックス,9725.0,2431605
2019.09.12,マリオカート8 デラックス,8941.0,2480563
2019.09.19,マリオカート8 デラックス,7696.0,2488259
2019.09.26,マリオカート8 デラックス,8305.0,2496564
2019.10.03,マリオカート8 デラックス,7865.0,2504429
2019.10.10,マリオカート8 デラックス,7233.0,2511662
2019.10.17,マリオカート8 デラックス,7866.0,2519528
2019.10.24,,,
2019.10.31,マリオカート8 デラックス,7360.0,2533458.0
2019.11.07,マリオカート8 デラックス,9834.0,2543292
2019.11.14,マリオカート8 デラックス,14623.0,2557915
2019.11.21,マリオカート8 デラックス,22376.0,2580291
2019.11.28,マリオカート8 デラックス,37835.0,2618126
2019.12.05,マリオカート8 デラックス,40883.0,2659009
2019.12.12,マリオカート8 デラックス,52195.0,2711204
2019.12.19,マリオカート8 デラックス,14100.0,2725304
2019.12.26,マリオカート8 デラックス,12370.0,2737674
2020.01.02,マリオカート8 デラックス,40883.0,2659009
2020.01.09,マリオカート8 デラックス,52195.0,2711204
2020.01.16,マリオカート8 デラックス,14100.0,2725304
2020.01.23,マリオカート8 デラックス,12370.0,2737674
2020.01.30,マリオカート8 デラックス,9008.0,2746682
2020.02.06,マリオカート8 デラックス,9810.0,2756492
2020.02.13,マリオカート8 デラックス,8911.0,2765403
2020.02.20,マリオカート8 デラックス,8548.0,2773951
2020.02.27,マリオカート8 デラックス,7326.0,2781277
2020.03.05,マリオカート8 デラックス,11958.0,2793235
2020.03.12,マリオカート8 デラックス,12751.0,2805986
2020.03.19,マリオカート8 デラックス,11272.0,2817258
2020.03.26,マリオカート8 デラックス,12095.0,2829353
2020.04.02,マリオカート8 デラックス,11577.0,2840930
2020.04.09,マリオカート8 デラックス,14171.0,2855101
2020.04.16,マリオカート8 デラックス,14171.0,2869272
2020.04.23,マリオカート8 デラックス,13313.0,2882585
2020.04.30,マリオカート8 デラックス,15264.0,2897849
2020.05.07,マリオカート8 デラックス,20396.0,2918245
2020.05.14,マリオカート8 デラックス,17924.0,2936169
2020.05.21,マリオカート8 デラックス,10286.0,2946455
2020.05.28,マリオカート8 デラックス,8974.0,2955429
2020.06.04,マリオカート8 デラックス,10415.0,2965844
2020.06.11,マリオカート8 デラックス,10883.0,2976727
2020.06.18,マリオカート8 デラックス,9727.0,2986454
2020.06.26,マリオカート8 デラックス,9251.0,2995705
2020.07.03,マリオカート8 デラックス,9338.0,3005043
2020.07.10,マリオカート8 デラックス,10037.0,3015080
2020.07.17,マリオカート8 デラックス,10878.0,3025958
2020.07.24,マリオカート8 デラックス,10031.0,3035989
2020.07.31,マリオカート8 デラックス,15175.0,3051164.0
2020.08.07,マリオカート8 デラックス,12801.0,3063965
2020.08.14,マリオカート8 デラックス,16863.0,3080828
2020.08.21,マリオカート8 デラックス,25032.0,3105860
2020.08.28,マリオカート8 デラックス,13862.0,3119722
2020.09.04,マリオカート8 デラックス,12136.0,3131858
2020.09.11,マリオカート8 デラックス,13523.0,3145381
2020.09.18,マリオカート8 デラックス,12280.0,3157661
2020.09.25,マリオカート8 デラックス,13094.0,3170755
2020.10.02,マリオカート8 デラックス,13470.0,3184225
2020.10.09,マリオカート8 デラックス,12270.0,3196495
2020.10.16,マリオカート8 デラックス,12723.0,3209218
2020.10.23,マリオカート8 デラックス,10928.0,3220146
2020.10.30,マリオカート8 デラックス,8802.0,3228948
2020.11.06,マリオカート8 デラックス,19239.0,3620938
2020.11.13,マリオカート8 デラックス,17503.0,3638441
2020.11.20,マリオカート8 デラックス,17699.0,3656140
2020.11.27,マリオカート8 デラックス,16354.0,3672494.0
2020.12.04,マリオカート8 デラックス,13478.0,3685972
2020.12.11,マリオカート8 デラックス,13575.0,3699547
2020.12.18,マリオカート8 デラックス,14684.0,3714231
2020.12.25,マリオカート8 デラックス,12231.0,3726462
2021.01.01,マリオカート8 デラックス,68199.0,3457183
2021.01.08,マリオカート8 デラックス,83853.0,3541036
2021.01.15,マリオカート8 デラックス,34027.0,3575063
2021.01.22,マリオカート8 デラックス,26636.0,3601699
2021.01.29,マリオカート8 デラックス,19239.0,3620938
2021.02.05,マリオカート8 デラックス,17503.0,3638441
2021.02.12,マリオカート8 デラックス,17699.0,3656140
2021.02.19,マリオカート8 デラックス,16354.0,3672494.0
