,title,week,sum
2017.03.09,,,
2017.03.16,,,
2017.03.23,,,
2017.03.30,,,
2017.04.06,,,
2017.04.13,,,
2017.04.20,,,
2017.04.27,,,
2017.05.04,,,
2017.05.11,,,
2017.05.18,,,
2017.05.25,,,
2017.06.01,,,
2017.06.08,,,
2017.06.15,,,
2017.06.22,,,
2017.06.29,,,
2017.07.06,,,
2017.07.13,,,
2017.07.20,,,
2017.07.27,,,
2017.08.03,,,
2017.08.10,,,
2017.08.17,,,
2017.08.24,,,
2017.08.31,,,
2017.09.07,,,
2017.09.14,,,
2017.09.21,,,
2017.09.28,,,
2017.10.05,,,
2017.10.12,,,
2017.10.19,,,
2017.10.26,,,
2017.11.02,,,
2017.11.09,,,
2017.11.16,,,
2017.11.23,,,
2017.11.30,,,
2017.12.07,,,
2017.12.14,,,
2017.12.21,,,
2017.12.28,,,
2018.01.11,,,
2018.01.18,,,
2018.01.25,,,
2018.02.01,,,
2018.02.08,,,
2018.02.15,,,
2018.02.22,,,
2018.03.01,,,
2018.03.08,,,
2018.03.15,,,
2018.03.22,,,
2018.03.29,,,
2018.04.05,,,
2018.04.12,,,
2018.04.19,,,
2018.04.26,,,
2018.05.03,,,
2018.05.10,,,
2018.05.17,,,
2018.05.24,,,
2018.05.31,,,
2018.06.07,,,
2018.06.14,,,
2018.06.21,,,
2018.06.28,,,
2018.07.05,,,
2018.07.12,,,
2018.07.19,,,
2018.07.26,,,
2018.08.02,,,
2018.08.09,,,
2018.08.16,,,
2018.08.23,,,
2018.08.30,,,
2018.09.06,,,
2018.09.13,,,
2018.09.20,,,
2018.09.27,,,
2018.10.04,,,
2018.10.11,,,
2018.10.18,,,
2018.10.25,,,
2018.11.01,,,
2018.11.08,,,
2018.11.15,,,
2018.11.22,,,
2018.11.29,,,
2018.12.06,,,
2018.12.13,,,
2018.12.20,,,
2018.12.27,,,
2019.01.03,,,
2019.01.10,,,
2019.01.17,,,
2019.01.24,,,
2019.01.31,,,
2019.02.07,,,
2019.02.14,,,
2019.02.21,,,
2019.02.28,,,
2019.03.07,,,
2019.03.14,,,
2019.03.21,,,
2019.03.28,,,
2019.04.04,,,
2019.04.11,,,
2019.04.18,,,
2019.04.25,,,
2019.05.02,,,
2019.05.09,,,
2019.05.16,,,
2019.05.23,,,
2019.05.30,,,
2019.06.06,,,
2019.06.13,,,
2019.06.20,,,
2019.06.27,,,
2019.07.04,,,
2019.07.11,,,
2019.07.18,,,
2019.07.25,,,
2019.08.01,,,
2019.08.08,,,
2019.08.15,,,
2019.08.22,,,
2019.08.29,,,
2019.09.05,,,
2019.09.12,,,
2019.09.19,,,
2019.09.26,,,
2019.10.03,,,
2019.10.10,,,
2019.10.17,,,
2019.10.24,,,
2019.10.31,,,
2019.11.07,,,
2019.11.14,,,
2019.11.21,,,
2019.11.28,,,
2019.12.05,,,
2019.12.12,,,
2019.12.19,,,
2019.12.26,,,
2020.01.02,,,
2020.01.09,,,
2020.01.16,,,
2020.01.23,,,
2020.01.30,,,
2020.02.06,,,
2020.02.13,,,
2020.02.20,,,
2020.02.27,,,
2020.03.05,,,
2020.03.12,,,
2020.03.19,,,
2020.03.26,,,
2020.04.02,,,
2020.04.09,リングフィット アドベンチャー,8496.0,753623
2020.04.16,リングフィット アドベンチャー,9249.0,762872
2020.04.23,,,
2020.04.30,リングフィット アドベンチャー,12351.0,778943
2020.05.07,リングフィット アドベンチャー,81649.0,860592
2020.05.14,リングフィット アドベンチャー,22740.0,883332
2020.05.21,リングフィット アドベンチャー,21963.0,905295
2020.05.28,リングフィット アドベンチャー,11746.0,917041
2020.06.04,リングフィット アドベンチャー,39518.0,956559
2020.06.11,リングフィット アドベンチャー,29487.0,986046
2020.06.18,リングフィット アドベンチャー,20023.0,1006069
2020.06.26,リングフィット アドベンチャー,32663.0,1038732
2020.07.03,リングフィット アドベンチャー,34782.0,1073514
2020.07.10,リングフィット アドベンチャー,19285.0,1092799
2020.07.17,リングフィット アドベンチャー,44261.0,1137060
2020.07.24,リングフィット アドベンチャー,36183.0,1173243
2020.07.31,リングフィット アドベンチャー,32136.0,1205379.0
2020.08.07,リングフィット アドベンチャー,37217.0,1242596
2020.08.14,リングフィット アドベンチャー,66828.0,1309424
2020.08.21,リングフィット アドベンチャー,26320.0,1335744
2020.08.28,リングフィット アドベンチャー,30689.0,1366433
2020.09.04,リングフィット アドベンチャー,53594.0,1420027
2020.09.11,リングフィット アドベンチャー,63958.0,1483985
2020.09.18,リングフィット アドベンチャー,43459.0,1527444
2020.09.25,リングフィット アドベンチャー,48826.0,1576270
2020.10.02,リングフィット アドベンチャー,25915.0,1602185
2020.10.09,リングフィット アドベンチャー,33156.0,1635341
2020.10.16,リングフィット アドベンチャー,33502.0,1668843
2020.10.23,リングフィット アドベンチャー,27303.0,1696146
2020.10.30,リングフィット アドベンチャー,21120.0,1717266
2020.11.06,リングフィット アドベンチャー,36489.0,2273887
2020.11.13,リングフィット アドベンチャー,42124.0,2316011
2020.11.20,リングフィット アドベンチャー,30087.0,2346098
2020.11.27,リングフィット アドベンチャー,24261.0,2370359.0
2020.12.04,リングフィット アドベンチャー,23686.0,2394045
2020.12.11,リングフィット アドベンチャー,19032.0,2413077
2020.12.18,リングフィット アドベンチャー,20197.0,2433274
2020.12.25,リングフィット アドベンチャー,18802.0,2452076
2021.01.01,リングフィット アドベンチャー,58561.0,2087005
2021.01.08,リングフィット アドベンチャー,70714.0,2157719
2021.01.15,リングフィット アドベンチャー,44282.0,2202001
2021.01.22,リングフィット アドベンチャー,35397.0,2237398
2021.01.29,リングフィット アドベンチャー,36489.0,2273887
2021.02.05,リングフィット アドベンチャー,42124.0,2316011
2021.02.12,リングフィット アドベンチャー,30087.0,2346098
2021.02.19,リングフィット アドベンチャー,24261.0,2370359.0
2021.02.26,リングフィット アドベンチャー,23686.0,2394045
2021.03.05,リングフィット アドベンチャー,19032.0,2413077
2021.03.12,リングフィット アドベンチャー,20197.0,2433274
2021.03.19,リングフィット アドベンチャー,18802.0,2452076
2021.03.26,リングフィット アドベンチャー,14865.0,2466941
2021.04.02,リングフィット アドベンチャー,12632.0,2479573
2021.04.09,リングフィット アドベンチャー,11722.0,2491295
2021.04.16,リングフィット アドベンチャー,10154.0,2501449
2021.04.23,リングフィット アドベンチャー,8973.0,2510422
2021.04.30,リングフィット アドベンチャー,12287.0,2522709
2021.05.07,リングフィット アドベンチャー,16928.0,2539637
2021.05.14,リングフィット アドベンチャー,14547.0,2554184.0
2021.05.21,リングフィット アドベンチャー,13970.0,2568154.0
2021.05.28,リングフィット アドベンチャー,18623.0,2586777
2021.06.04,リングフィット アドベンチャー,14057.0,2600834
2021.06.18,リングフィット アドベンチャー,13507.0,2627908
2021.06.25,リングフィット アドベンチャー,13005.0,2640913
2021.07.02,リングフィット アドベンチャー,13756.0,2654669
2021.07.09,リングフィット アドベンチャー,14422.0,2669091
2021.07.16,リングフィット アドベンチャー,12847.0,2681938
2021.07.23,リングフィット アドベンチャー,12164.0,2694102
2021.07.30,リングフィット アドベンチャー,16169.0,2710271
2021.08.06,リングフィット アドベンチャー,11678.0,2721949
