,title,week,sum
2017.03.09,,,
2017.03.16,,,
2017.03.23,,,
2017.03.30,,,
2017.04.06,,,
2017.04.13,,,
2017.04.20,,,
2017.04.27,,,
2017.05.04,,,
2017.05.11,,,
2017.05.18,,,
2017.05.25,,,
2017.06.01,,,
2017.06.08,,,
2017.06.15,,,
2017.06.22,,,
2017.06.29,,,
2017.07.06,,,
2017.07.13,,,
2017.07.20,,,
2017.07.27,,,
2017.08.03,,,
2017.08.10,,,
2017.08.17,,,
2017.08.24,,,
2017.08.31,,,
2017.09.07,,,
2017.09.14,,,
2017.09.21,,,
2017.09.28,,,
2017.10.05,,,
2017.10.12,,,
2017.10.19,,,
2017.10.26,,,
2017.11.02,,,
2017.11.09,,,
2017.11.16,,,
2017.11.23,,,
2017.11.30,,,
2017.12.07,,,
2017.12.14,,,
2017.12.21,,,
2017.12.28,,,
2018.01.11,,,
2018.01.18,,,
2018.01.25,,,
2018.02.01,,,
2018.02.08,,,
2018.02.15,,,
2018.02.22,,,
2018.03.01,,,
2018.03.08,,,
2018.03.15,,,
2018.03.22,,,
2018.03.29,,,
2018.04.05,,,
2018.04.12,,,
2018.04.19,,,
2018.04.26,,,
2018.05.03,,,
2018.05.10,,,
2018.05.17,,,
2018.05.24,,,
2018.05.31,,,
2018.06.07,,,
2018.06.14,,,
2018.06.21,,,
2018.06.28,,,
2018.07.05,,,
2018.07.12,,,
2018.07.19,,,
2018.07.26,,,
2018.08.02,,,
2018.08.09,,,
2018.08.16,,,
2018.08.23,,,
2018.08.30,,,
2018.09.06,,,
2018.09.13,,,
2018.09.20,,,
2018.09.27,,,
2018.10.04,,,
2018.10.11,,,
2018.10.18,,,
2018.10.25,,,
2018.11.01,,,
2018.11.08,,,
2018.11.15,,,
2018.11.22,,,
2018.11.29,,,
2018.12.06,大乱闘スマッシュブラザーズ SPECIAL（同梱版含む）,20706.0,2953145
2018.12.13,大乱闘スマッシュブラザーズ SPECIAL（同梱版含む）,21008.0,2974153
2018.12.20,大乱闘スマッシュブラザーズ SPECIAL,19349.0,2992376
2018.12.27,大乱闘スマッシュブラザーズ SPECIAL,14775.0,3007151
2019.01.03,大乱闘スマッシュブラザーズ SPECIAL（同梱版含む）,275147.0,2355186
2019.01.10,大乱闘スマッシュブラザーズ SPECIAL（同梱版含む）,258974.0,2614160
2019.01.17,大乱闘スマッシュブラザーズ SPECIAL（同梱版含む）,62580.0,2676740
2019.01.24,大乱闘スマッシュブラザーズ SPECIAL（同梱版含む）,49533.0,2726273
2019.01.31,大乱闘スマッシュブラザーズ SPECIAL（同梱版含む）,38478.0,2764751
2019.02.07,大乱闘スマッシュブラザーズ SPECIAL（同梱版含む）,35217.0,2799969
2019.02.14,大乱闘スマッシュブラザーズ SPECIAL（同梱版含む）,31174.0,2831143
2019.02.21,大乱闘スマッシュブラザーズ SPECIAL（同梱版含む）,29843.0,2860986
2019.02.28,大乱闘スマッシュブラザーズ SPECIAL（同梱版含む）,22430.0,2883416
2019.03.07,大乱闘スマッシュブラザーズ SPECIAL（同梱版含む）,25617.0,2909033
2019.03.14,大乱闘スマッシュブラザーズ SPECIAL（同梱版含む）,23407.0,2932439
2019.03.21,大乱闘スマッシュブラザーズ SPECIAL（同梱版含む）,20706.0,2953145
2019.03.28,大乱闘スマッシュブラザーズ SPECIAL（同梱版含む）,21008.0,2974153
2019.04.04,大乱闘スマッシュブラザーズ SPECIAL,19349.0,2992376
2019.04.11,大乱闘スマッシュブラザーズ SPECIAL,14775.0,3007151
2019.04.18,大乱闘スマッシュブラザーズ SPECIAL,11346.0,3018497
2019.04.25,大乱闘スマッシュブラザーズ SPECIAL,11080.0,3029577
2019.05.02,大乱闘スマッシュブラザーズ SPECIAL,13573.0,3043150
2019.05.09,大乱闘スマッシュブラザーズ SPECIAL,23756.0,3066906
2019.05.16,大乱闘スマッシュブラザーズ SPECIAL,10086.0,3076992
2019.05.23,大乱闘スマッシュブラザーズ SPECIAL,8507.0,3085499.0
2019.05.30,大乱闘スマッシュブラザーズ SPECIAL,8662.0,3094161
2019.06.06,大乱闘スマッシュブラザーズ SPECIAL,9087.0,3103248
2019.06.13,大乱闘スマッシュブラザーズ SPECIAL,8691.0,3111939
2019.06.20,大乱闘スマッシュブラザーズ SPECIAL,10058.0,3121997
2019.06.27,大乱闘スマッシュブラザーズ SPECIAL,8342.0,3130339
2019.07.04,大乱闘スマッシュブラザーズ SPECIAL,10161.0,3140500
2019.07.11,大乱闘スマッシュブラザーズ SPECIAL,8968.0,3149468
2019.07.18,大乱闘スマッシュブラザーズ SPECIAL,9136.0,3158604
2019.07.25,大乱闘スマッシュブラザーズ SPECIAL,8782.0,3167386
2019.08.01,大乱闘スマッシュブラザーズ SPECIAL,8088.0,3175474
2019.08.08,大乱闘スマッシュブラザーズ SPECIAL,9947.0,3185421
2019.08.15,大乱闘スマッシュブラザーズ SPECIAL,11877.0,3197298
2019.08.22,大乱闘スマッシュブラザーズ SPECIAL,16017.0,3213315
2019.08.29,大乱闘スマッシュブラザーズ SPECIAL,8776.0,3222091
2019.09.05,大乱闘スマッシュブラザーズ SPECIAL,11114.0,3233205
2019.09.12,大乱闘スマッシュブラザーズ SPECIAL,9252.0,3288904
2019.09.19,大乱闘スマッシュブラザーズ SPECIAL,6732.0,3295636
2019.09.26,大乱闘スマッシュブラザーズ SPECIAL,7312.0,3302948
2019.10.03,,,
2019.10.10,大乱闘スマッシュブラザーズ SPECIAL,7109.0,3317305
2019.10.17,大乱闘スマッシュブラザーズ SPECIAL,7693.0,3324998
2019.10.24,,,
2019.10.31,,,
2019.11.07,大乱闘スマッシュブラザーズ SPECIAL,9789.0,3348488
2019.11.14,大乱闘スマッシュブラザーズ SPECIAL,13959.0,3362447
2019.11.21,大乱闘スマッシュブラザーズ SPECIAL,21135.0,3383582
2019.11.28,大乱闘スマッシュブラザーズ SPECIAL,34085.0,3417667
2019.12.05,大乱闘スマッシュブラザーズ SPECIAL,35385.0,3453052
2019.12.12,大乱闘スマッシュブラザーズ SPECIAL,43274.0,3496326
2019.12.19,大乱闘スマッシュブラザーズ SPECIAL,14129.0,3510455
2019.12.26,大乱闘スマッシュブラザーズ SPECIAL,12347.0,3522802
2020.01.02,大乱闘スマッシュブラザーズ SPECIAL,35385.0,3453052
2020.01.09,大乱闘スマッシュブラザーズ SPECIAL,43274.0,3496326
2020.01.16,大乱闘スマッシュブラザーズ SPECIAL,14129.0,3510455
2020.01.23,大乱闘スマッシュブラザーズ SPECIAL,12347.0,3522802
2020.01.30,大乱闘スマッシュブラザーズ SPECIAL,9927.0,3532729
2020.02.06,大乱闘スマッシュブラザーズ SPECIAL,10592.0,3543321
2020.02.13,大乱闘スマッシュブラザーズ SPECIAL,9336.0,3552657
2020.02.20,大乱闘スマッシュブラザーズ SPECIAL,9155.0,3561812
2020.02.27,大乱闘スマッシュブラザーズ SPECIAL,7608.0,3569420
2020.03.05,大乱闘スマッシュブラザーズ SPECIAL,11635.0,3581055
2020.03.12,大乱闘スマッシュブラザーズ SPECIAL,11319.0,3592374
2020.03.19,大乱闘スマッシュブラザーズ SPECIAL,9898.0,3602272
2020.03.26,大乱闘スマッシュブラザーズ SPECIAL,10647.0,3612919
2020.04.02,大乱闘スマッシュブラザーズ SPECIAL,10355.0,3623274
2020.04.09,大乱闘スマッシュブラザーズ SPECIAL,12257.0,3635531
2020.04.16,大乱闘スマッシュブラザーズ SPECIAL,11303.0,3646834
2020.04.23,大乱闘スマッシュブラザーズ SPECIAL,9034.0,3655868
2020.04.30,大乱闘スマッシュブラザーズ SPECIAL,9636.0,3665504
2020.05.07,大乱闘スマッシュブラザーズ SPECIAL,13390.0,3678894
2020.05.14,大乱闘スマッシュブラザーズ SPECIAL,11808.0,3690702
2020.05.21,大乱闘スマッシュブラザーズ SPECIAL,7216.0,3697918
2020.05.28,大乱闘スマッシュブラザーズ SPECIAL,5892.0,3703810
2020.06.04,大乱闘スマッシュブラザーズ SPECIAL,7262.0,3711072
2020.06.11,大乱闘スマッシュブラザーズ SPECIAL,7610.0,3718682
2020.06.18,大乱闘スマッシュブラザーズ SPECIAL,6634.0,3725316
2020.06.26,大乱闘スマッシュブラザーズ SPECIAL,6137.0,3731453
2020.07.03,大乱闘スマッシュブラザーズ SPECIAL,6316.0,3737769
2020.07.10,大乱闘スマッシュブラザーズ SPECIAL,7111.0,3744880
2020.07.17,大乱闘スマッシュブラザーズ SPECIAL,6900.0,3751780
2020.07.24,大乱闘スマッシュブラザーズ SPECIAL,6253.0,3758033
2020.07.31,大乱闘スマッシュブラザーズ SPECIAL,8540.0,3766573.0
2020.08.07,大乱闘スマッシュブラザーズ SPECIAL,7553.0,3774126
2020.08.14,大乱闘スマッシュブラザーズ SPECIAL,9809.0,3783935
2020.08.21,大乱闘スマッシュブラザーズ SPECIAL,12673.0,3796608
2020.08.28,大乱闘スマッシュブラザーズ SPECIAL,7230.0,3803838
2020.09.04,大乱闘スマッシュブラザーズ SPECIAL,6105.0,3809943
2020.09.11,大乱闘スマッシュブラザーズ SPECIAL,7725.0,3817668
2020.09.18,大乱闘スマッシュブラザーズ SPECIAL,6761.0,3824429
2020.09.25,大乱闘スマッシュブラザーズ SPECIAL,6288.0,3830717
2020.10.02,大乱闘スマッシュブラザーズ SPECIAL,6151.0,3836868
2020.10.09,大乱闘スマッシュブラザーズ SPECIAL,6168.0,3843036
2020.10.16,大乱闘スマッシュブラザーズ SPECIAL,6564.0,3849600
2020.10.23,大乱闘スマッシュブラザーズ SPECIAL,6301.0,3855901
2020.10.30,大乱闘スマッシュブラザーズ SPECIAL,4736.0,3860637
2020.11.06,大乱闘スマッシュブラザーズ SPECIAL,13316.0,4122643
2020.11.13,大乱闘スマッシュブラザーズ SPECIAL,11220.0,4133863
2020.11.20,大乱闘スマッシュブラザーズ SPECIAL,12040.0,4145903
2020.11.27,大乱闘スマッシュブラザーズ SPECIAL,10087.0,4155990.0
2020.12.04,大乱闘スマッシュブラザーズ SPECIAL,9326.0,4165316
2020.12.11,大乱闘スマッシュブラザーズ SPECIAL,9957.0,4175273
2020.12.18,大乱闘スマッシュブラザーズ SPECIAL,12052.0,4187325
2020.12.25,大乱闘スマッシュブラザーズ SPECIAL,10947.0,4198272
2021.01.01,大乱闘スマッシュブラザーズ SPECIAL,53187.0,4013174
2021.01.08,大乱闘スマッシュブラザーズ SPECIAL,54865.0,4068039
2021.01.15,大乱闘スマッシュブラザーズ SPECIAL,24189.0,4092228
2021.01.22,大乱闘スマッシュブラザーズ SPECIAL,17099.0,4109327
2021.01.29,大乱闘スマッシュブラザーズ SPECIAL,13316.0,4122643
2021.02.05,大乱闘スマッシュブラザーズ SPECIAL,11220.0,4133863
2021.02.12,大乱闘スマッシュブラザーズ SPECIAL,12040.0,4145903
2021.02.19,大乱闘スマッシュブラザーズ SPECIAL,10087.0,4155990.0
