,title,week,sum
2017.03.09,,,
2017.03.16,,,
2017.03.23,,,
2017.03.30,,,
2017.04.06,,,
2017.04.13,,,
2017.04.20,,,
2017.04.27,,,
2017.05.04,,,
2017.05.11,,,
2017.05.18,,,
2017.05.25,,,
2017.06.01,,,
2017.06.08,,,
2017.06.15,,,
2017.06.22,,,
2017.06.29,,,
2017.07.06,,,
2017.07.13,,,
2017.07.20,,,
2017.07.27,,,
2017.08.03,,,
2017.08.10,,,
2017.08.17,,,
2017.08.24,,,
2017.08.31,,,
2017.09.07,,,
2017.09.14,,,
2017.09.21,,,
2017.09.28,,,
2017.10.05,,,
2017.10.12,,,
2017.10.19,,,
2017.10.26,,,
2017.11.02,,,
2017.11.09,,,
2017.11.16,,,
2017.11.23,,,
2017.11.30,,,
2017.12.07,,,
2017.12.14,,,
2017.12.21,,,
2017.12.28,,,
2018.01.11,,,
2018.01.18,,,
2018.01.25,,,
2018.02.01,,,
2018.02.08,,,
2018.02.15,,,
2018.02.22,,,
2018.03.01,,,
2018.03.08,,,
2018.03.15,,,
2018.03.22,,,
2018.03.29,,,
2018.04.05,,,
2018.04.12,,,
2018.04.19,,,
2018.04.26,,,
2018.05.03,,,
2018.05.10,,,
2018.05.17,,,
2018.05.24,,,
2018.05.31,,,
2018.06.07,,,
2018.06.14,,,
2018.06.21,,,
2018.06.28,,,
2018.07.05,,,
2018.07.12,,,
2018.07.19,,,
2018.07.26,,,
2018.08.02,,,
2018.08.09,,,
2018.08.16,,,
2018.08.23,,,
2018.08.30,,,
2018.09.06,,,
2018.09.13,,,
2018.09.20,,,
2018.09.27,,,
2018.10.04,,,
2018.10.11,,,
2018.10.18,,,
2018.10.25,,,
2018.11.01,,,
2018.11.08,,,
2018.11.15,,,
2018.11.22,,,
2018.11.29,,,
2018.12.06,,,
2018.12.13,,,
2018.12.20,,,
2018.12.27,,,
2019.01.03,,,
2019.01.10,,,
2019.01.17,,,
2019.01.24,,,
2019.01.31,,,
2019.02.07,,,
2019.02.14,,,
2019.02.21,,,
2019.02.28,,,
2019.03.07,,,
2019.03.14,,,
2019.03.21,,,
2019.03.28,,,
2019.04.04,,,
2019.04.11,,,
2019.04.18,,,
2019.04.25,,,
2019.05.02,,,
2019.05.09,,,
2019.05.16,,,
2019.05.23,,,
2019.05.30,,,
2019.06.06,,,
2019.06.13,,,
2019.06.20,,,
2019.06.27,,,
2019.07.04,,,
2019.07.11,,,
2019.07.18,,,
2019.07.25,,,
2019.08.01,,,
2019.08.08,,,
2019.08.15,,,
2019.08.22,,,
2019.08.29,,,
2019.09.05,,,
2019.09.12,,,
2019.09.19,,,
2019.09.26,,,
2019.10.03,,,
2019.10.10,,,
2019.10.17,,,
2019.10.24,,,
2019.10.31,,,
2019.11.07,,,
2019.11.14,,,
2019.11.21,,,
2019.11.28,,,
2019.12.05,,,
2019.12.12,,,
2019.12.19,,,
2019.12.26,,,
2020.01.02,,,
2020.01.09,,,
2020.01.16,,,
2020.01.23,,,
2020.01.30,,,
2020.02.06,,,
2020.02.13,,,
2020.02.20,,,
2020.02.27,,,
2020.03.05,,,
2020.03.12,,,
2020.03.19,,,
2020.03.26,,,
2020.04.02,,,
2020.04.09,,,
2020.04.16,,,
2020.04.23,,,
2020.04.30,,,
2020.05.07,,,
2020.05.14,,,
2020.05.21,,,
2020.05.28,,,
2020.06.04,,,
2020.06.11,,,
2020.06.18,,,
2020.06.26,,,
2020.07.03,,,
2020.07.10,,,
2020.07.17,,,
2020.07.24,,,
2020.07.31,,,
2020.08.07,,,
2020.08.14,,,
2020.08.21,,,
2020.08.28,,,
2020.09.04,,,
2020.09.11,,,
2020.09.18,,,
2020.09.25,,,
2020.10.02,,,
2020.10.09,,,
2020.10.16,,,
2020.10.23,,,
2020.10.30,,,
2020.11.06,桃太郎電鉄 ～昭和 平成 令和も定番！～,92793.0,1710394
2020.11.13,桃太郎電鉄 ～昭和 平成 令和も定番！～,79362.0,1789756
2020.11.20,桃太郎電鉄 ～昭和 平成 令和も定番！～,56283.0,1846039
2020.11.27,桃太郎電鉄 ～昭和 平成 令和も定番！～,46638.0,1892677.0
2020.12.04,桃太郎電鉄 ～昭和 平成 令和も定番！～,41508.0,1934185
2020.12.11,桃太郎電鉄 ～昭和 平成 令和も定番！～,40610.0,1974795
2020.12.18,桃太郎電鉄 ～昭和 平成 令和も定番！～,31760.0,2006555
2020.12.25,桃太郎電鉄 ～昭和 平成 令和も定番！～,25287.0,2031842
2021.01.01,桃太郎電鉄 ～昭和 平成 令和も定番！～,268816.0,1233023
2021.01.08,桃太郎電鉄 ～昭和 平成 令和も定番！～,190427.0,1423450
2021.01.15,桃太郎電鉄 ～昭和 平成 令和も定番！～,87087.0,1510537
2021.01.22,桃太郎電鉄 ～昭和 平成 令和も定番！～,107064.0,1617601
2021.01.29,桃太郎電鉄 ～昭和 平成 令和も定番！～,92793.0,1710394
2021.02.05,桃太郎電鉄 ～昭和 平成 令和も定番！～,79362.0,1789756
2021.02.12,桃太郎電鉄 ～昭和 平成 令和も定番！～,56283.0,1846039
2021.02.19,桃太郎電鉄 ～昭和 平成 令和も定番！～,46638.0,1892677.0
2021.02.26,桃太郎電鉄 ～昭和 平成 令和も定番！～,41508.0,1934185
2021.03.05,桃太郎電鉄 ～昭和 平成 令和も定番！～,40610.0,1974795
2021.03.12,桃太郎電鉄 ～昭和 平成 令和も定番！～,31760.0,2006555
2021.03.19,桃太郎電鉄 ～昭和 平成 令和も定番！～,25287.0,2031842
2021.03.26,桃太郎電鉄 ～昭和 平成 令和も定番！～,20275.0,2052117
2021.04.02,桃太郎電鉄 ～昭和 平成 令和も定番！～,20179.0,2072296
2021.04.09,桃太郎電鉄 ～昭和 平成 令和も定番！～,16289.0,2088585
2021.04.16,桃太郎電鉄 ～昭和 平成 令和も定番！～,12920.0,2101505
2021.04.23,桃太郎電鉄 ～昭和 平成 令和も定番！～,11141.0,2112646
2021.04.30,桃太郎電鉄 ～昭和 平成 令和も定番！～,12415.0,2125061
2021.05.07,桃太郎電鉄 ～昭和 平成 令和も定番！～,23774.0,2148835
2021.05.14,桃太郎電鉄 ～昭和 平成 令和も定番！～,18574.0,2167409.0
2021.05.21,桃太郎電鉄 ～昭和 平成 令和も定番！～,12918.0,2180327.0
2021.05.28,桃太郎電鉄 ～昭和 平成 令和も定番！～,11401.0,2191728
2021.06.04,桃太郎電鉄 ～昭和 平成 令和も定番！～,10290.0,2202018
2021.06.18,桃太郎電鉄 ～昭和 平成 令和も定番！～,9802.0,2223507
2021.06.25,桃太郎電鉄 ～昭和 平成 令和も定番！～,10393.0,2233900
2021.07.02,桃太郎電鉄 ～昭和 平成 令和も定番！～,8540.0,2242440
2021.07.09,桃太郎電鉄 ～昭和 平成 令和も定番！～,9458.0,2251898
2021.07.16,桃太郎電鉄 ～昭和 平成 令和も定番！～,9298.0,2261196
2021.07.23,桃太郎電鉄 ～昭和 平成 令和も定番！～,8661.0,2269857
2021.07.30,桃太郎電鉄 ～昭和 平成 令和も定番！～,10984.0,2280841
2021.08.06,桃太郎電鉄 ～昭和 平成 令和も定番！～,9208.0,2290049
