,period,count_cum
0,2017.03.02_2017-03-08,20
1,2017.03.09_2017-03-15,21
2,2017.03.16_2017-03-22,22
3,2017.03.23_2017-03-29,23
4,2017.03.30_2017-04-05,25
5,2017.04.06_2017-04-12,26
6,2017.04.13_2017-04-19,30
7,2017.04.20_2017-04-26,32
8,2017.04.27_2017-05-03,37
9,2017.05.04_2017-05-10,37
10,2017.05.11_2017-05-17,39
11,2017.05.18_2017-05-24,42
12,2017.05.25_2017-05-31,47
13,2017.06.01_2017-06-07,50
14,2017.06.08_2017-06-14,53
15,2017.06.15_2017-06-21,56
16,2017.06.22_2017-06-28,59
17,2017.06.29_2017-07-05,65
18,2017.07.06_2017-07-12,69
19,2017.07.13_2017-07-19,73
20,2017.07.20_2017-07-26,80
21,2017.07.27_2017-08-02,85
22,2017.08.03_2017-08-09,90
23,2017.08.10_2017-08-16,95
24,2017.08.17_2017-08-23,96
25,2017.08.24_2017-08-30,101
26,2017.08.31_2017-09-06,106
27,2017.09.07_2017-09-13,111
28,2017.09.14_2017-09-20,116
29,2017.09.21_2017-09-27,122
30,2017.09.28_2017-10-04,132
31,2017.10.05_2017-10-11,136
32,2017.10.12_2017-10-18,141
33,2017.10.19_2017-10-25,147
34,2017.10.26_2017-11-01,152
35,2017.11.02_2017-11-08,156
36,2017.11.09_2017-11-15,167
37,2017.11.16_2017-11-22,175
38,2017.11.23_2017-11-29,181
39,2017.11.30_2017-12-06,192
40,2017.12.07_2017-12-13,201
41,2017.12.14_2017-12-20,210
42,2017.12.21_2017-12-27,224
43,2017.12.28_2018-01-03,233
44,2018.01.11_2018-01-17,236
45,2018.01.18_2018-01-24,245
46,2018.01.25_2018-01-31,255
47,2018.02.01_2018-02-07,262
48,2018.02.08_2018-02-14,270
49,2018.02.15_2018-02-21,278
50,2018.02.22_2018-02-28,290
51,2018.03.01_2018-03-07,305
52,2018.03.08_2018-03-14,314
53,2018.03.15_2018-03-21,323
54,2018.03.22_2018-03-28,333
55,2018.03.29_2018-04-04,346
