,スプラトゥーン2,大乱闘スマッシュブラザーズ SPECIAL,スーパーマリオ オデッセイ,あつまれ どうぶつの森,マリオカート8 デラックス,リングフィット アドベンチャー,Minecraft,桃太郎電鉄,ポケットモンスター ソード・シールド,スーパー マリオパーティ,ゼルダの伝説 ブレス オブ ザ ワイルド,世界のアソビ大全51,モンスターハンターライズ
2017.03.09,,,,,,,,,,,44602.0,44602.0,44602.0
2017.03.16,,,,,,,,,,,17482.0,17482.0,17482.0
2017.03.23,,,,,,,,,,,32115.0,32115.0,32115.0
2017.03.30,,,,,,,,,,,7796.0,7796.0,7796.0
2017.04.06,,,,,,,,,,,29307.0,29307.0,29307.0
2017.04.13,,,,,,,,,,,6487.0,6487.0,6487.0
2017.04.20,,,,,,,,,,,4740.0,4740.0,4740.0
2017.04.27,,,,,,,,,,,20364.0,20364.0,20364.0
2017.05.04,,,,,284823.0,284823.0,284823.0,284823.0,284823.0,284823.0,25286.0,25286.0,25286.0
2017.05.11,,,,,90652.0,90652.0,90652.0,90652.0,90652.0,90652.0,21926.0,21926.0,21926.0
2017.05.18,,,,,36440.0,36440.0,36440.0,36440.0,36440.0,36440.0,11916.0,11916.0,11916.0
2017.05.25,,,,,28781.0,28781.0,28781.0,28781.0,28781.0,28781.0,3286.0,3286.0,3286.0
2017.06.01,,,,,26993.0,26993.0,26993.0,26993.0,26993.0,26993.0,10390.0,10390.0,10390.0
2017.06.08,,,,,20984.0,20984.0,20984.0,20984.0,20984.0,20984.0,9666.0,9666.0,9666.0
2017.06.15,,,,,16596.0,16596.0,16596.0,16596.0,16596.0,16596.0,8839.0,8839.0,8839.0
2017.06.22,,,,,16822.0,16822.0,16822.0,16822.0,16822.0,16822.0,10200.0,10200.0,10200.0
2017.06.29,,,,,13545.0,13545.0,13545.0,13545.0,13545.0,13545.0,8312.0,8312.0,8312.0
2017.07.06,,,,,14423.0,14423.0,14423.0,14423.0,14423.0,14423.0,9144.0,9144.0,9144.0
2017.07.13,,,,,13436.0,13436.0,13436.0,13436.0,13436.0,13436.0,7830.0,7830.0,7830.0
2017.07.20,,,,,11554.0,11554.0,11554.0,11554.0,11554.0,11554.0,7015.0,7015.0,7015.0
2017.07.27,648085.0,648085.0,648085.0,648085.0,12980.0,12980.0,12980.0,12980.0,12980.0,12980.0,5989.0,5989.0,5989.0
2017.08.03,105326.0,105326.0,105326.0,105326.0,13841.0,13841.0,13841.0,13841.0,13841.0,13841.0,13841.0,13841.0,13841.0
2017.08.10,74235.0,74235.0,74235.0,74235.0,13764.0,13764.0,13764.0,13764.0,13764.0,13764.0,13764.0,13764.0,13764.0
2017.08.17,87983.0,87983.0,87983.0,87983.0,17262.0,17262.0,17262.0,17262.0,17262.0,17262.0,17262.0,17262.0,17262.0
2017.08.24,34108.0,34108.0,34108.0,34108.0,13589.0,13589.0,13589.0,13589.0,13589.0,13589.0,5268.0,5268.0,5268.0
2017.08.31,54443.0,54443.0,54443.0,54443.0,13731.0,13731.0,13731.0,13731.0,13731.0,13731.0,13731.0,13731.0,13731.0
2017.09.07,52320.0,52320.0,52320.0,52320.0,12474.0,12474.0,12474.0,12474.0,12474.0,12474.0,12474.0,12474.0,12474.0
2017.09.14,44981.0,44981.0,44981.0,44981.0,10526.0,10526.0,10526.0,10526.0,10526.0,10526.0,10526.0,10526.0,10526.0
2017.09.21,37481.0,37481.0,37481.0,37481.0,10971.0,10971.0,10971.0,10971.0,10971.0,10971.0,10971.0,10971.0,10971.0
2017.09.28,21897.0,21897.0,21897.0,21897.0,11457.0,11457.0,11457.0,11457.0,11457.0,11457.0,11457.0,11457.0,11457.0
2017.10.05,29704.0,29704.0,29704.0,29704.0,15098.0,15098.0,15098.0,15098.0,15098.0,15098.0,15098.0,15098.0,15098.0
2017.10.12,36246.0,36246.0,61596.0,61596.0,23388.0,23388.0,23388.0,23388.0,23388.0,23388.0,11634.0,11634.0,11634.0
2017.10.19,50594.0,50594.0,95816.0,95816.0,33315.0,33315.0,33315.0,33315.0,33315.0,33315.0,14342.0,14342.0,14342.0
2017.10.26,70489.0,70489.0,133180.0,133180.0,50679.0,50679.0,50679.0,50679.0,50679.0,50679.0,50679.0,50679.0,50679.0
2017.11.02,137607.0,137607.0,209630.0,209630.0,100205.0,100205.0,100205.0,100205.0,100205.0,100205.0,35565.0,35565.0,35565.0
2017.11.09,96404.0,96404.0,105051.0,105051.0,87356.0,87356.0,87356.0,87356.0,87356.0,87356.0,33024.0,33024.0,33024.0
2017.11.16,117840.0,117840.0,110816.0,110816.0,82806.0,82806.0,82806.0,82806.0,82806.0,82806.0,31761.0,31761.0,31761.0
2017.11.23,34632.0,34632.0,28193.0,28193.0,22836.0,22836.0,22836.0,22836.0,22836.0,22836.0,12415.0,12415.0,12415.0
2017.11.30,28691.0,28691.0,18972.0,18972.0,26365.0,26365.0,26365.0,26365.0,26365.0,26365.0,9502.0,9502.0,9502.0
2017.12.07,25776.0,25776.0,16664.0,16664.0,21834.0,21834.0,21834.0,21834.0,21834.0,21834.0,10240.0,10240.0,10240.0
2017.12.14,25758.0,25758.0,15978.0,15978.0,21263.0,21263.0,21263.0,21263.0,21263.0,21263.0,12709.0,12709.0,12709.0
2017.12.21,23461.0,23461.0,13912.0,13912.0,19210.0,19210.0,19210.0,19210.0,19210.0,19210.0,12087.0,12087.0,12087.0
2017.12.28,21815.0,21815.0,21815.0,21815.0,19280.0,19280.0,19280.0,19280.0,19280.0,19280.0,19280.0,19280.0,19280.0
2018.01.11,117840.0,117840.0,110816.0,110816.0,82806.0,82806.0,82806.0,82806.0,82806.0,82806.0,31761.0,31761.0,31761.0
2018.01.18,34632.0,34632.0,28193.0,28193.0,22836.0,22836.0,22836.0,22836.0,22836.0,22836.0,12415.0,12415.0,12415.0
2018.01.25,28691.0,28691.0,18972.0,18972.0,26365.0,26365.0,26365.0,26365.0,26365.0,26365.0,9502.0,9502.0,9502.0
2018.02.01,25776.0,25776.0,16664.0,16664.0,21834.0,21834.0,21834.0,21834.0,21834.0,21834.0,10240.0,10240.0,10240.0
2018.02.08,25758.0,25758.0,15978.0,15978.0,21263.0,21263.0,21263.0,21263.0,21263.0,21263.0,12709.0,12709.0,12709.0
2018.02.15,23461.0,23461.0,13912.0,13912.0,19210.0,19210.0,19210.0,19210.0,19210.0,19210.0,12087.0,12087.0,12087.0
2018.02.22,21815.0,21815.0,21815.0,21815.0,19280.0,19280.0,19280.0,19280.0,19280.0,19280.0,19280.0,19280.0,19280.0
2018.03.01,19501.0,19501.0,11639.0,11639.0,17259.0,17259.0,17259.0,17259.0,17259.0,17259.0,12252.0,12252.0,12252.0
